ind,qf,qt,tm,ta,pt,pf,tm_neg_vio,tm_pos_vio
1,0.03528464473836905,-0.047205773696586496,1.0,0.0,0.12989697468651415,-0.12950170781623987,,
10,4.7922385084882215,-3.379785316736822,1.0,0.0,19.940952336873682,-19.785919694143484,,
100,-0.027694237769337132,0.011219578737556475,1.0,0.0,0.3023559467520868,-0.29783266020046933,,
1000,-0.1146131691701363,0.1553492664798848,1.0,0.0,3.458658485987067,-3.4450195296924715,,
1001,0.12786263626868477,-0.15004378453355696,1.0,0.0,-0.9447134456455983,0.945732641124847,,
1002,-0.44436470066180134,0.459245220847944,1.0,0.0,2.1774494683250754,-2.1678416740661306,,
1003,0.5625026760865887,-0.595020790711074,1.0,0.0,1.326503892829544,-1.3256522209896633,,
1004,0.49012262288373926,-0.5282922075828022,1.0,0.0,5.374516393692297,-5.361916667922765,,
1006,0.013764794363532782,-0.1220349902194821,1.0,0.0,-1.9476823536988332,1.9611256586691534,,
1007,0.05668657719757,-0.08426435773817534,1.0,0.0,-2.4219171747834816,2.4259405456989143,,
1009,-0.6236115766990268,-0.1317212415047773,1.0,0.0,-0.3153243431320861,0.3156264236554622,,
101,-0.01599455093099577,0.0006615210579030141,1.0,0.0,-0.17542735248263439,0.17650170155259481,,
1010,-0.15477564371428743,-0.05902061686893536,1.0,0.0,3.7473893928785005,-3.7222861197887998,,
1013,-0.06487316562826827,-0.11890161667884225,1.0,0.0,-2.1166030284409882,2.120975150978368,,
1014,-0.25608806859742916,0.20497032387164874,1.0,0.0,2.3534169824831945,-2.3462990235894976,,
1015,-0.08565962050710799,-0.129086875082025,1.0,0.0,-0.7876474617925873,0.7884841546784624,-9.875435934320252e-9,-9.87396507702527e-9
1017,0.9738494781633198,-0.6789126064320872,1.0,0.0,9.75245689963574,-9.655104747579426,,
1019,0.5468282120514989,-0.4855103088037923,1.0,0.0,9.369866490258982,-9.329348226281875,,
102,-0.9077422804225765,0.5796473747498181,1.0,0.0,2.9693658547785735,-2.9340717795730717,,
1020,0.20955662349330773,-0.21527490264543292,1.027186105486669,0.0,-0.28673192044722867,0.28677573432915476,,
1021,-0.33597068244405376,0.3811791701988686,1.0,0.0,3.4556814826632696,-3.4427867196820374,,
1023,0.33597068244400224,-0.28511828301738273,1.0,0.0,-3.43134772569418,3.4427867196820374,,
1025,-0.025183715501115197,0.02572073724104136,1.0,0.0,0.08574839860821211,-0.08528663546676607,,
1026,0.02398510123844384,-0.025099779159584133,1.0,0.0,-0.0032821161058128796,0.003290883769728004,,
1027,-0.023985101237808157,0.022275758170161156,1.0,0.0,0.003304876808634381,-0.003290883769728004,,
1028,0.8234145310217913,-0.8036765732056438,1.0,0.0,-0.6086716768315643,0.6122032226869029,,
1029,1.1871137790812978,-1.1472086134862074,1.0,0.0,-0.8593319161212417,0.8660606833308128,,
103,-0.3429215672974823,-2.1959042415712835,1.0,0.0,-3.0635331863659756,3.067604985858206,,
1030,0.20100946579549697,-0.1999998831557205,1.0,0.0,0.022002253069825728,-0.021955216367967895,,
1031,0.2010395376818407,-0.19999992661449092,1.0,0.0,0.022395573686424156,-0.02234751348850332,,
1032,-0.11305405047447441,0.0661440358828162,1.0,0.0,1.6646908665030278,-1.6577372462733477,,
1033,0.3654566354265821,-0.4268931341952602,1.0,0.0,-1.815585297925332,1.8334677749324029,,
1034,0.19915118117094913,-0.35808703248882795,1.0,0.0,1.4654551411023686,-1.4509289501208467,,
1036,-0.0342712871926917,-0.2391755461584924,1.0,0.0,-0.8576117985572177,0.8591163568574459,,
1038,-0.3599055746144819,-0.09709558045758931,1.0,0.0,-1.4284558143350603,1.4584093543021497,,
1039,0.25939202427164104,0.19203005100605597,1.0,0.0,-3.8155651061679,3.910358634958867,,
104,2.0369714890111412,-2.072790258652311,1.0,0.0,1.4714408525529488,-1.4672844912956855,,
1040,0.3084193737195223,0.17666910893243448,1.0,0.0,-3.2407990020021065,3.3625429884894897,,
1041,-0.3892704049728503,0.3273279044128942,1.0,0.0,0.26603926091807545,-0.2656400275312411,,
1042,0.3584255555418157,-0.144943320884624,1.0,0.0,3.130006725630095,-3.0685758892568487,,
1043,0.030844849431539256,0.3644722673800923,1.0,0.0,-3.2456668321532574,3.33421591678809,,
1044,-0.020746763292301736,0.43033349954501243,1.0,0.0,-3.2745147963545835,3.362548886426485,,
1045,0.2885172898493886,0.7707663169447543,1.0,0.0,-4.048009477636241,4.23770497243645,,
1046,0.8292978486646017,1.1572952070710298,1.0,0.0,-6.081986852384642,6.394528854130242,,
1047,0.12018115892187994,0.08866892706241847,1.0,0.0,3.578718261417481,-3.530760845505564,,
1048,0.7163344609366181,-0.7879165108148459,1.0,0.0,-1.5122473263048108,1.5164610999687762,,
1049,-0.2723771154352702,0.31378025157121425,1.0,0.0,-2.6746846508814124,2.686624729040267,,
105,-0.09786265529846126,0.0998263818120873,1.0,0.0,3.1379446024211095,-3.1348258990138684,,
1050,0.6624718116147602,-0.546138196581391,1.0,0.0,3.2784106823709767,-3.2525300366924563,,
1051,-0.02314411323635708,0.0003747290980020367,1.0,0.0,0.053164403480891666,-0.05309016908926472,,
1052,-0.5668463471431344,0.5125260879543709,1.0,0.0,-1.5091715229513138,1.5119531514986801,,
1053,1.2078644273525012,0.04675838961123652,1.0,0.0,-5.901570238094853,6.082281027190772,,
1054,-0.03490215962852785,0.03370467372050849,1.0,0.0,0.03666525668739804,-0.03653552135337721,,
1055,0.03336318878922599,-0.03464777558907628,1.0,0.0,0.004283114856307823,-0.004223558868075737,,
1056,-0.7500934646286723,0.6985719392040162,1.0,0.0,0.1637233929682329,-0.16350845400308284,,
1057,-1.346377248247024,3.0418536142654453,1.0,0.0,-4.054057473586226,4.338242204745434,,
1058,-1.3826665476959217,2.9592644786464737,1.0,0.0,-3.9811297683870333,4.2395756369827335,,
1059,1.3463772482475311,0.08532883536252334,1.0,0.0,4.573903354405531,-4.338242204745434,,
106,-1.935500636642353,1.9762101853985208,1.0,0.0,-3.1540336099540087,3.23365097875511,,
1061,-0.6409840623709875,0.5735526975894468,1.0,0.0,-1.1260585616984626,1.1278017606173125,,
1062,0.8198872093577442,-0.42329384620035054,1.0,0.0,-3.3028214358985593,3.3873686147661917,,
1063,-0.023981483177423886,0.00949127350121431,1.0,0.0,0.05426951726487226,-0.05422062518507619,,
1064,-0.14320117951260397,0.10299231035139658,1.0,0.0,-0.13342134956715868,0.13506837299162305,,
1065,0.141567706436645,-0.1556390676635217,1.0,0.0,0.31358568442865653,-0.308784849724599,,
1066,-0.018083093052790596,-5.882651223542021e-7,1.0,0.0,1.654672746277527e-23,2.8496061916638954e-6,-9.879508493115237e-9,-9.869502228486034e-9
1067,0.04682032001562597,-0.11736069118824556,1.0,0.0,-0.08781641257897428,0.08894612639073635,,
1068,-0.1044748974324341,0.08665314357487497,1.0,0.0,-0.017522650356047872,0.01786779771252435,,
1069,-0.0981567157452274,0.022692458365049562,1.0,0.0,0.013019771937414356,-0.01246092543633482,,
107,1.950055985975837,-2.0566425916020012,1.0,0.0,-0.5393633167894328,0.5470391929230402,,
1071,0.35957751799244003,-0.3578550371932912,1.0,0.0,-0.4879267090345324,0.48923373633276446,,
1073,0.014893553347956402,-0.022067640341852417,1.0,0.0,-0.008527227976330161,0.00853245936529695,,
1074,-0.0007096282851660088,-0.021078169287710537,1.0,0.0,-0.014022701592053044,0.014033872237607199,,
1075,-0.014183925062915584,-0.03932636738838511,1.0,0.0,0.02260896579405875,-0.02256633160290415,,
1076,-0.026615846674875647,0.011049001355841631,1.0,0.0,-0.021915925374657766,0.0219326747758515,,
1077,0.07128191751237999,-0.06365015381259144,1.0,0.0,-0.19131297546301912,0.1918843169605486,-9.875399004318527e-9,-9.874002861781239e-9
1078,-0.018220976093438382,-2.439629877378449e-5,1.0,0.0,-0.2166440284520063,0.21770762803386473,,
1079,-0.17423937097103687,0.14858185287312464,1.0,0.0,-0.0022831232027925668,0.0033742774574977816,,
108,-0.9625042652815459,0.6315021094100635,1.0,0.0,2.2752636206135124,-2.25204239257539,,
1080,-0.013406000112275667,0.007056107527683807,1.0,0.0,0.32045787558821215,-0.31929570431860277,,
1081,-0.13643218412802574,0.12145933829428894,1.0,0.0,-0.1837156241085658,0.184758411355359,,
1082,-0.1410354570948065,0.12742919965774546,1.0,0.0,-0.1360677570949398,0.13674219958366718,,
1083,0.12139239689915746,-0.11423929051186672,1.0,0.0,0.8942547883914896,-0.8910341209611194,,
1084,-0.11687830526397694,0.13645680734712284,1.0,0.0,-0.8816399569126184,0.8900177956559461,,
1085,-0.1640106059061043,0.1591336580691691,1.0,0.0,-0.370138261346837,0.3723218298423782,,
1086,0.1551674118744493,-0.15659991034151602,1.0,0.0,0.3852126048336851,-0.38446302155973466,,
1087,-0.1551023019209154,0.1493585075572581,1.0,0.0,-0.3562117019073256,0.35861661106956455,,
1088,-0.1315628249732409,0.13035357716986998,1.0,0.0,-0.3472501388167024,0.34767475486518096,,
1089,0.17046812896170105,-0.18558166309544652,1.0,0.0,0.3293672606659537,-0.3221729047174209,,
