elm_loc_name,elm_Ka,elm_Ke,elm_Kf,elm_Ta,elm_Te,elm_Tf,elm_Tr,elm_Vrmax,elm_Vrmin,elm_E1,elm_E2,elm_Se1,elm_Se2,con_gen
IEEET1_gen_1002_1,410.236425418407,0.978313231701031,0.0384163624867797,0.04925586465979,0.956802078469191,0.416739941947162,0.0,3.34788202880882,-3.6484926072415,2.50440447583748,4.28437220281921,0.0336525934559759,0.488432303469162,gen_1002_1.ElmSym
IEEET1_gen_1003_2,415.568558759987,1.0149357827846,0.0414965674839914,0.0498421972198412,0.909869783460162,0.392397149484605,0.0,3.38732133307494,-3.56103539899923,2.49504568982311,4.35499007483013,0.0349891163758002,0.485413360920735,gen_1003_2.ElmSym
IEEET1_gen_1004_3,417.973811905831,0.950587566336617,0.0399816460199654,0.0512366668391041,0.936019780386705,0.405017067287117,0.0,3.61499707186595,-3.37174507002346,2.55689968721895,4.60442286052275,0.0342482060964685,0.464590114140883,gen_1004_3.ElmSym
IEEET1_gen_1005_4,407.278893664479,1.03157553658821,0.0406440143473446,0.0481253423937596,0.975480470934417,0.387989695612341,0.0,3.40845511397347,-3.62262035433669,2.43955940413428,4.57721359308343,0.0346259206100367,0.454765305375215,gen_1005_4.ElmSym
IEEET1_gen_1012_1,416.707451306283,0.987422394379973,0.0418166978545487,0.0483598643541336,0.921280816250946,0.407674134895206,0.0,3.41578906085342,-3.54613876696676,2.48040869422164,4.38865297415759,0.0357019829601049,0.457072504531592,gen_1012_1.ElmSym
IEEET1_gen_1013_1,383.232027180493,1.00854734145105,0.0398462995346636,0.0518418593890965,0.990039492242504,0.415318514592946,0.0,3.64521443077829,-3.35783400116488,2.42974822431244,4.72350719142705,0.0336777892326936,0.463397090323269,gen_1013_1.ElmSym
IEEET1_gen_1014_1,405.730183832347,0.984005276486278,0.0401932295355946,0.0513058608421125,0.937627278978471,0.385050551369786,0.0,3.4688323801849,-3.66424312093295,2.44532156349998,4.47940269629471,0.034161239492707,0.448357616647612,gen_1014_1.ElmSym
IEEET1_gen_1017_1,415.032962523401,0.975046257814392,0.0417981324400753,0.0497812783927657,0.940812324811704,0.39625544546172,0.0,3.45192121560685,-3.52378245373257,2.51622961882083,4.63684695563279,0.0360738295335323,0.458796450366732,gen_1017_1.ElmSym
IEEET1_gen_1018_2,413.461538366973,0.974581190431491,0.0413608197551221,0.0478006789670326,0.990110709297005,0.397948993016034,0.0,3.42016747472808,-3.38640509471297,2.59269110110309,4.50543993688188,0.0363344120818656,0.454332621984649,gen_1018_2.ElmSym
IEEET1_gen_1019_3,383.118968810886,1.04488886906765,0.0404564874768257,0.0511837596748956,0.990416964024771,0.406177894007415,0.0,3.63007317108568,-3.36039008114021,2.55218730689492,4.54660906833596,0.0358856917852536,0.466341515648179,gen_1019_3.ElmSym
