elm_loc_name,elm_Ks1,elm_Ks2,elm_Ks3,elm_M,elm_N,elm_Ts1,elm_Ts10,elm_Ts11,elm_Ts2,elm_Ts3,elm_Ts4,elm_T6,elm_T7,elm_T8,elm_T9,elm_Tw1,elm_Tw2,elm_Tw3,elm_Tw4,elm_VS1max,elm_VS1min,elm_VS2max,elm_VS2min,elm_Vstmax,elm_Vstmin,elm_elm_Ic1,elm_elm_Ic2,elm_elm_IPB,con_gen
PSS2B_gen_1002_1,10.4337981743738,0.434443097719923,0.96834445069544,5,1,0.104593691164628,0,0,0.0190704614212736,0.156537860892713,0.0190952399885282,0.0,5.18339069932699,0.522349490458146,0.103224895680323,5.071482577594,5.14742544689216,4.85358806676231,0.0,96.259390635509,-100.843783211941,102.952798857121,-98.7872100340202,0.0487277482380159,-0.0475659922300838,1,3,1,gen_1002_1.ElmSym
PSS2B_gen_1003_2,9.86215621652082,0.447502308237925,0.953631049953401,5,1,0.0997049295250326,0,0,0.020040499150753,0.148587151381653,0.0190052788192406,0.0,4.95553077594377,0.484058057237416,0.102012168671936,4.92432576464489,4.81663638725877,5.16680250945501,0.0,103.595425944217,-94.9508667017799,101.759413934173,-100.667890658649,0.0488451134599745,-0.0506982237542979,1,3,1,gen_1003_2.ElmSym
PSS2B_gen_1004_3,10.4159854305908,0.465511583111063,0.951700011827052,5,1,0.0970139443362132,0,0,0.0204163272362202,0.153288593811449,0.0194505471307784,0.0,4.94803444040008,0.513440499245189,0.0970223741559312,5.1964588095434,5.02898830338381,4.8708392647095,0.0,100.740053739538,-96.0075342344586,100.714333256101,-95.6700135621708,0.0475414353329688,-0.0486065615690313,1,3,1,gen_1004_3.ElmSym
PSS2B_gen_1005_4,9.59354156814516,0.453859160653129,1.02930419328623,5,1,0.0994915261026472,0,0,0.0199089139970019,0.145678360608872,0.0208413586374372,0.0,4.81657053576782,0.490036810096353,0.103545239381492,4.75668684160337,4.92299183504656,4.83079956215806,0.0,102.704846723098,-103.926044016564,97.6895833516493,-96.0669687181245,0.0478229659679346,-0.0491517520882189,1,3,1,gen_1005_4.ElmSym
PSS2B_gen_1012_1,10.1938109789044,0.455264725222439,0.979036140069365,5,1,0.104225924094208,0,0,0.0197442890489474,0.148567452239804,0.0205933559648693,0.0,4.86256224266253,0.491237070807256,0.103180855819955,4.90294593432918,5.10642872913741,5.08923104614951,0.0,100.033710117638,-98.0663641547318,95.8258568285499,-102.434130450245,0.0513346657622606,-0.0509171130205505,1,3,1,gen_1012_1.ElmSym
PSS2B_gen_1013_1,10.4188218088821,0.450583076741919,0.977327929018065,5,1,0.102260952601209,0,0,0.020925753085874,0.150816512263846,0.0203524233475327,0.0,5.08905236795545,0.521349614509381,0.0950039723515511,5.02240552497096,5.24317150539718,4.91286900476553,0.0,101.260119511513,-101.274990729382,94.0937464392744,-101.448502714466,0.052431792600546,-0.0479515596898273,1,3,1,gen_1013_1.ElmSym
PSS2B_gen_1014_1,10.2263019094244,0.446510768066347,1.04419297203422,5,1,0.0966591927409172,0,0,0.0196139689814299,0.152097533808555,0.0203742076139897,0.0,5.16141834342852,0.48947682522703,0.102296771947294,5.09868702432141,5.1956097886432,4.85955132823437,0.0,98.7758856524248,-103.167226523766,103.810750555387,-103.81057529985,0.0476707818289287,-0.0507844606647268,1,3,1,gen_1014_1.ElmSym
PSS2B_gen_1017_1,10.3338462067768,0.470348783156276,0.986960728792474,5,1,0.104285520268604,0,0,0.0196725700339302,0.151302189140115,0.0205673435898498,0.0,4.93336711497977,0.52339818412438,0.10334990516305,4.91003471356817,4.91991457971744,4.96080093667842,0.0,102.231913783215,-102.73251351295,102.503013215493,-95.5911527149379,0.0515103040100075,-0.0516651516407728,1,3,1,gen_1017_1.ElmSym
PSS2B_gen_1018_2,10.352999992203,0.44834948229678,0.97076443717815,5,1,0.102503051869571,0,0,0.0206537069212645,0.150438015754335,0.0200659716269001,0.0,4.99141372158192,0.522551410971209,0.0968981322133914,4.89958578627557,4.80130036384799,4.95059878542088,0.0,103.524766706675,-100.800028566783,95.3651279409416,-102.195275625726,0.0516099981521256,-0.0504872197471559,1,3,1,gen_1018_2.ElmSym
PSS2B_gen_1019_3,9.83361389767379,0.460028535760939,1.02813734742813,5,1,0.0976005327003077,0,0,0.0190683316485956,0.154564192481339,0.0206009059771895,0.0,5.22585303196684,0.491951364628039,0.0965653036534786,5.04597358498722,4.81254544714466,4.78880816185847,0.0,102.572013790486,-103.297989351768,102.456031145761,-97.7610425383318,0.0491227637580596,-0.0505168282845989,1,3,1,gen_1019_3.ElmSym
PSS2B_gen_1020_4,10.1739751836285,0.440499774250388,1.01915948959067,5,1,0.103747523422353,0,0,0.0205559514733031,0.155976402168162,0.0202258348586038,0.0,4.85902185062878,0.483956124633551,0.099994816086255,5.21694561000913,4.87199505092576,4.87712125154212,0.0,96.2448092236183,-97.0651143212803,97.0177416238468,-100.967144393222,0.0492695715138689,-0.048935860551428,1,3,1,gen_1020_4.ElmSym
PSS2B_gen_1022_1,9.74039251403883,0.444031055987254,0.974300656188279,5,1,0.0956810838589445,0,0,0.0193829281060025,0.154149642675184,0.0197730487221852,0.0,5.09099571080878,0.520112066692673,0.096598045793362,4.79859652440064,4.76278975349851,4.92991651804186,0.0,101.298874593247,-97.207596759405,97.7302444572095,-97.6806365463417,0.0523421539319679,-0.0484631940093823,1,3,1,gen_1022_1.ElmSym
PSS2B_gen_1030_4,9.94333905214444,0.464796356688067,1.01529922191985,5,1,0.0980106043675914,0,0,0.0199627554053441,0.14855029726401,0.0190214604903013,0.0,5.11786174401641,0.48295719132293,0.103974725692533,5.22632127255201,5.12807890423574,4.99432451021858,0.0,94.2080185538158,-97.7539134836756,103.192314554891,-94.9839499922935,0.048251585084945,-0.0511672315117903,1,3,1,gen_1030_4.ElmSym
PSS2B_gen_1031_1,10.4466949803755,0.472286083978415,0.962764524295926,5,1,0.103239820045419,0,0,0.0204068703288212,0.148650108855218,0.020892563755624,0.0,5.07957412069663,0.488956753606908,0.101522705485113,4.96131028211676,5.1705497156363,5.24771967320703,0.0,99.145840857178,-98.4863748136908,103.944442178356,-99.7700900390278,0.0519586395379156,-0.0485615460039116,1,3,1,gen_1031_1.ElmSym
PSS2B_gen_1038_1,9.76477779773995,0.462550840008259,1.03989951200783,5,1,0.0989662034390494,0,0,0.0203287688540295,0.152066028336994,0.0197134132450447,0.0,4.8956666928716,0.49565317959059,0.0994464022247121,4.98274431540631,5.2458427187521,4.93189691402949,0.0,98.6218380545732,-97.2319019492716,95.4110016540158,-101.170843194891,0.0477743405778892,-0.0511613477068022,1,3,1,gen_1038_1.ElmSym
PSS2B_gen_1039_2,10.4249594323337,0.472272476643696,1.04659852017649,5,1,0.10310436243657,0,0,0.0192849255856127,0.153014120282605,0.0191938310125843,0.0,4.9514758514706,0.508427999168634,0.103202157737687,4.8452093701344,5.09708372876048,4.86485504545271,0.0,103.771437722538,-94.9892253517639,98.8058663814794,-99.5026100881398,0.048561440713238,-0.0514723624405451,1,3,1,gen_1039_2.ElmSym
PSS2B_gen_1040_3,10.4664538265206,0.450278338083252,1.01840198757127,5,1,0.0983049490815028,0,0,0.0191063553271815,0.148360462859273,0.0206481328168884,0.0,4.78906177449971,0.51763670083601,0.102293612207286,4.93520119716413,5.18646796350367,4.87716852943413,0.0,94.9826092062984,-95.767709677387,94.3509785282426,-98.42643688065,0.0475857714866288,-0.0480364807113074,1,3,1,gen_1040_3.ElmSym
PSS2B_gen_1041_4,9.87031521042809,0.477379210244492,1.01274963011965,5,1,0.10231906354893,0,0,0.019161917434074,0.144767151991837,0.020502097979188,0.0,5.19631453440525,0.520998156652786,0.100148416329175,4.89147663651966,4.79617457441054,5.21324351755902,0.0,103.86731780665,-98.4069770804141,99.6936126873828,-98.2391821802594,0.0480143382702954,-0.0490288165770471,1,3,1,gen_1041_4.ElmSym
PSS2B_gen_1042_5,9.80012275883928,0.45031410943754,1.00550141525455,5,1,0.101634450447746,0,0,0.0209827976254746,0.146055059961509,0.02006467530597,0.0,5.16966764070094,0.48649521144107,0.100530133065768,5.21015827497467,4.86566188302822,5.2239118644502,0.0,103.30738433199,-94.7925862465985,97.9365126223303,-97.2316577873658,0.0518099037255161,-0.0521933463728055,1,3,1,gen_1042_5.ElmSym
PSS2B_gen_1043_6,9.50278255296871,0.435336359449849,1.01353485621512,5,1,0.099874300933443,0,0,0.020658694007434,0.147493655704893,0.0206318080415949,0.0,4.92728397389874,0.524459640472196,0.0956788671854883,4.98761686286889,4.89746745675802,5.0405813138932,0.0,97.0859973720275,-94.6902421900537,94.6953036617953,-101.451367259212,0.0494158218661323,-0.0504407538147643,1,3,1,gen_1043_6.ElmSym
PSS2B_gen_1044_1,9.66111249942333,0.473740613298118,1.04583242735825,5,1,0.0981483108457178,0,0,0.0199307348774746,0.144892856958322,0.0191974082970992,0.0,5.14011784270406,0.517724941438064,0.10440324395895,4.78182427352294,4.98759443149902,4.86877715750597,0.0,97.5587038203143,-95.0819220234174,96.6943601170555,-103.220584182115,0.0506928787264042,-0.0480745097110048,1,3,1,gen_1044_1.ElmSym
PSS2B_gen_1058_1,10.3107956787571,0.457485478694737,0.952233040193096,5,1,0.102995039927773,0,0,0.019525543011725,0.150127856489271,0.0203168735364452,0.0,4.85239392681979,0.47724958427716,0.0991930519323796,4.86076762829907,5.16706788097508,5.21953403367661,0.0,103.923747291276,-102.463405828318,97.8972189903259,-96.2774754662532,0.0498768173577264,-0.050815480586607,1,3,1,gen_1058_1.ElmSym
PSS2B_gen_1059_1,9.66368052223697,0.471324852080271,1.00126549019478,5,1,0.0965995607338846,0,0,0.0202333963569254,0.147537964798976,0.0199369234405458,0.0,4.88334657647647,0.518031824333593,0.100285648349673,5.12890265649185,4.97136477893218,5.2297177661676,0.0,100.916763981432,-97.9478173605166,95.4076056169812,-98.9228146281559,0.0491121395584196,-0.0496395705966279,1,3,1,gen_1059_1.ElmSym
PSS2B_gen_1060_2,9.92029561521485,0.473649482272938,0.996296150330454,5,1,0.0973612011689693,0,0,0.0208782542925328,0.152514158673584,0.0198695475198328,0.0,4.91851245844737,0.509280681051314,0.0992521334718913,4.96014569234103,5.22681502485648,5.17979782517068,0.0,100.393265393469,-94.175405276008,101.862699804828,-97.1216405292973,0.0490042195259593,-0.0493116734991781,1,3,1,gen_1060_2.ElmSym
PSS2B_gen_1067_1,10.2719843843952,0.475566141373292,0.99972583707422,5,1,0.0961561651853844,0,0,0.0192991142831743,0.155008205662016,0.0206024440266192,0.0,5.01028506900184,0.501082091103308,0.0984127285005525,5.11442854534835,5.16229717782699,4.96883573289961,0.0,96.8479737850372,-94.4579552069306,94.7480211967137,-97.2141663341783,0.0511838654032908,-0.0518786001391709,1,3,1,gen_1067_1.ElmSym
PSS2B_gen_1068_2,9.87229224573821,0.435855550925061,0.972921000188216,5,1,0.102233447865583,0,0,0.0191385954869911,0.15713669153396,0.0196522665116936,0.0,4.76797133125365,0.491873559891246,0.0983920153370127,5.06369840959087,4.97659182013012,4.76234174962156,0.0,99.7411358705722,-98.2996408365201,97.7621610278729,-97.4884975890163,0.048386897763703,-0.0485206750035286,1,3,1,gen_1068_2.ElmSym
PSS2B_gen_1069_1,24.7588730824646,0.185113812708501,0.0,0,0,0.476081641670316,0,0,0.155073342968244,0.0984693528246134,0.0776839700490236,0.0,1.92814185516909,0.0,0.00976242714328691,0.00992356444336474,0.0,3.04483452429995,3.02292854706757,100.29582341169,-102.934118283866,102.245548028732,-96.4601943508722,0.104129288918339,-0.10482699432876,1,3,1,gen_1069_1.ElmSym
PSS2B_gen_1070_1,24.9916136707179,0.186400536843836,0.0,0,0,0.520439077960327,0,0,0.143609361047857,0.0957276930008084,0.0832969901636243,0.0,2.02602922553197,0.0,0.00988194719608873,0.0102530776672065,0.0,3.02027708860114,3.02343022436835,95.5679330942687,-97.6821622044314,103.902865462191,-98.0900867729913,0.0968449787143618,-0.102866758666933,1,3,1,gen_1070_1.ElmSym
