ind,pt,pf
1,4.385688809395683,-4.3777407652521
10,0.08448982761295624,-0.08447478352790216
11,2.3356318782392176,-2.3321829443616027
12,2.3356318782392176,-2.3321829443616027
2,-0.0012817869390459441,0.001281791279150681
3,-0.0012817869390459441,0.001281791279150681
4,-0.0012817869390459441,0.001281791279150681
5,0.0008037986275752631,-0.0008037970705299623
6,7.8627248997017585,-7.76917095587993
7,3.0383502669433864,-3.0330859817774707
8,3.0383502669433864,-3.0330859817774707
9,0.08448982761295624,-0.08447478352790216
