ind,pt,pf
1,4.976357284276879,-4.966124171932592
10,1.2004408622801006,-1.197403921338271
11,3.445803456474768,-3.4382966180599643
12,3.445803456474768,-3.4382966180599643
2,-0.0006619977106749007,0.0006619988445453643
3,-0.0006619977106749007,0.0006619988445453643
4,-0.0006619977106749007,0.0006619988445453643
5,0.0019857840875300665,-0.001985775374046883
6,5.850640624591651,-5.798841456874753
7,3.0552852850218652,-3.0499621528350396
8,3.0552852850218652,-3.0499621528350396
9,1.2004408622801006,-1.197403921338271
