ind,va,vm
100,0.020624849219702507,0.9234779580641297
1000,0.7895032213642283,0.9968805572970508
10001,-0.008478160550787454,0.8999999902898436
10002,-0.11381192984852229,0.9415644583418296
10003,-0.10749741218716857,0.8999999931651101
10004,0.2178140261862087,0.9989690368399584
10005,0.22407257295879315,1.0007171215966286
10006,0.04208410596495783,1.0534575021480665
10007,0.04506859037775347,1.05308149491872
10008,0.40342410521420496,1.0569581494673927
10009,0.40355238296302315,1.0570723990774098
1001,1.1133758163793614,1.0092918511871953
10010,0.544348731402402,1.03035260028926
10011,0.5509494168344858,1.0313279227164132
10012,0.5492505537819052,1.030766574775704
10013,0.04971408713235268,1.1000000109597086
10014,0.06089720085299137,1.1000000109599524
10015,0.5239698904685164,1.011319074221354
10016,0.520565450575676,1.01065824038788
10017,0.5267294187620061,1.0116991369722244
10018,0.5349218969465183,1.0124347930901683
10019,0.3101820025999204,1.0929543463621452
10020,0.30945465798863836,1.0929156613583115
10021,0.2568172627694633,1.0037295598039084
10022,0.25775201648654533,1.0033589159717553
10023,-0.10223855590613545,1.0475831571947825
10024,-0.10015031979076153,1.0480470084824964
10025,-0.15188299143575493,0.9616061365832598
10026,-0.15145355589478543,0.9616842079935668
10027,0.5036445720447441,0.9944220322428622
10028,0.47536796543528964,0.9929582288165731
10029,0.3802285262196014,1.0148052861307282
1003,1.0607670854223699,0.984972728509458
10031,0.5235657906915167,1.0048117919262036
10032,0.5237748599283776,1.0048064878114615
10033,0.5227755487632064,1.0047958965672592
10034,0.4734698286716366,1.0406044533146277
10035,0.4751601055344144,1.0387990406584178
10036,0.47591201699313473,1.0389809977412332
10037,0.4806138391685095,0.9868014007847818
10039,0.5434925844532743,1.0174808445589025
1004,0.7675587813648145,0.9905735993692862
10040,0.5292353544381492,1.0165087659679677
10042,0.531847088606092,1.016318835543652
10043,0.5308305996247087,1.0164940967585192
10045,0.4363382513075031,1.0060663819778835
10046,0.4358900952097048,1.005228405145454
10047,0.5603583308178308,1.0076294187432964
10048,0.5604543164611016,1.0074351964020158
10049,0.7650782377710695,0.9961844933650591
1005,0.7680687547008281,0.990610257367739
10050,0.7706785068686055,0.9977531357037065
10051,0.7946626453414168,1.0136503440807056
10052,0.806451705804394,1.0171632593103748
10053,0.8165775772051407,1.0108966749513475
10054,0.8223478795150223,1.012628112370728
10055,0.8623260785376821,1.009865363391299
10056,0.8538843243974258,1.0061296509557527
10057,0.8749562478967274,1.009837169724211
10058,0.7861814027009467,1.0096589264341194
10059,0.7803142059113238,1.0065976721066747
1006,0.7594483851160856,0.9862410876273978
10060,0.778623602002352,1.0057906697869479
10061,0.7669042242239467,1.0037180212569543
10062,0.7581007855292007,1.000181333019607
10063,0.7462145720168402,0.9961948792959602
10064,0.78063618963005,0.9964117535329968
10065,0.7773306467351825,0.9950469940578641
10066,0.7901541416511413,0.9993452344827278
10067,0.7801896269199112,1.0087647225889271
10068,0.7691058357029211,1.003884560709868
10069,0.7718412130400191,1.0009557139311283
1007,0.694616219339324,0.9641310188976798
10070,0.7675715363117642,1.0007370124157544
10071,0.8190067626548478,1.0147884839460484
10072,0.7650709900846732,1.001320420877867
10073,0.7578646366845502,0.9986142714993336
10074,1.2178763457584578,1.0277013334596505
10075,1.2189658471103213,1.0276220759067993
10076,1.1946576408421286,1.0065068780926787
10077,1.2826359363649955,1.0153100895312737
10078,1.2763940547889032,1.0138735876113536
10079,1.1644681933407708,0.9924812392160792
1008,0.8859107798744106,1.040411380911232
10080,1.1613760595973546,1.0011715254001476
10081,1.2336636845678128,1.0257069474288234
10082,1.281225484322515,1.0103135453672565
10083,1.2701489082715292,1.0136519357601335
10084,0.7667455827749754,0.9915896756972585
10085,0.5614782031616116,1.003766944524478
10086,0.5614782033255095,1.0037669466382886
