ind,pt,pf
1,1.785144373446365,-1.78382753841617
10,1.2344997996310811,-1.2312880856630422
11,1.9151706006094098,-1.9128516526358907
12,1.9151706006094098,-1.9128516526358907
2,-0.016121960670838615,0.016122615968154123
3,-0.016121960670838615,0.016122615968154123
4,-0.016121960670838615,0.016122615968154123
5,0.015502387226140557,-0.015501888672838285
6,4.518755821972461,-4.487856162942648
7,2.3405725211856336,-2.337448543466246
8,2.3405725211856336,-2.337448543466246
9,1.2344997996310811,-1.2312880856630422
