ind,va,qb_ac_pos_vio,vm,qb_ac_neg_vio
100,-0.07694745364909987,-9.974932220037168e-9,1.0173071348082734,-9.974949702695885e-9
1000,-0.4445941770678181,-9.974918338267589e-9,1.0042961200057765,-9.974963549778657e-9
10001,-0.00814740983709287,-9.974935345521475e-9,1.011967711748364,-9.974946580791364e-9
10002,-0.09028802454175408,-9.974931160901756e-9,0.960613596379452,-9.974950760265161e-9
10003,-0.08507557830257184,-9.974932357315917e-9,1.054554533361159,-9.974949565607048e-9
10004,-0.03781330822946014,-9.974935652393082e-9,0.9745160521851859,-9.974946274187302e-9
10005,-0.035589381528667335,-9.974936871261499e-9,1.027410513754193,-9.9749450562333e-9
10006,0.015125985699417066,-9.97493720848912e-9,1.000826363623597,-9.974944719216836e-9
10007,0.013010051216457482,-9.9749373970799e-9,1.001055176828143,-9.974944530736234e-9
10008,-0.054714739290074914,-9.974913715122447e-9,1.0615900861286607,-9.974968154575697e-9
10009,-0.05457943251071773,-9.974913848176571e-9,1.0616679208103297,-9.974968022097021e-9
1001,-0.10121843435144814,-9.97495169785063e-9,1.0009081365592207,-9.974930221778186e-9
10010,0.0012276520080602706,-9.974939513366266e-9,0.9868389201365932,-9.974942415297225e-9
10011,0.0025048294084606226,-9.974939574761418e-9,0.9857656072619814,-9.97494235391599e-9
10012,0.0021954032303003294,-9.974939560999714e-9,0.9862273284515333,-9.974942367674627e-9
10013,-0.06188628440072973,-9.974934034857216e-9,1.1000000085216182,-9.974947890143968e-9
10014,-0.05746666730679693,-9.974934476032791e-9,0.9383374910651344,-9.97494744944047e-9
10015,-0.0033653527932776275,-9.97493924511346e-9,0.9932302043135277,-9.974942683482166e-9
10016,-0.003918961283624773,-9.974939159226198e-9,0.9937191969655319,-9.974942769345274e-9
10017,-0.0032912601166756733,-9.974939233551232e-9,0.9935204627188527,-9.974942695041211e-9
10018,-0.0022174371994183703,-9.974939317244574e-9,0.9932394733538996,-9.97494261137043e-9
10019,-0.0398853249568074,-9.97493286948702e-9,1.0001680910445268,-9.974949054117994e-9
10020,-0.04027074767487474,-9.974932871683836e-9,1.0001513180890216,-9.974949051924015e-9
10021,-0.05753954139927466,-9.974939419011994e-9,0.9933793317960773,-9.974942509628935e-9
10022,-0.05711605505060993,-9.974939355060459e-9,0.9932126727544174,-9.974942573564371e-9
10023,-0.1392198810792781,-9.974934486889524e-9,0.9956274860635775,-9.974947438594963e-9
10024,-0.13819338652377522,-9.974934466713363e-9,0.9958424913809562,-9.974947458750248e-9
10025,-0.08141609987281745,-9.974931890708351e-9,1.0041563960050088,-9.974950031556867e-9
10026,-0.08124130168088607,-9.97493189720245e-9,1.0041894187338152,-9.97495002507216e-9
10027,-0.03499106497743255,-9.974940928596629e-9,0.9913454846265626,-9.974941000234786e-9
10028,0.02526155143143778,-9.974940863906129e-9,0.9818655115400452,-9.974941064924582e-9
