ind,va,qb_ac_pos_vio,vm,qb_ac_neg_vio
100,-0.039031807720939296,-9.974914457458959e-9,1.0670698963372716,-9.974967415413883e-9
1000,-0.6425282897120943,-9.974969908769078e-9,1.0596023913084838,-9.974911953043516e-9
10001,-0.008741768437624597,-9.97491061736876e-9,1.1000000066372784,-9.97497123813837e-9
10002,-0.11132361492357017,-9.974899670549645e-9,0.9876613539249947,-9.974982122635651e-9
10003,-0.10474103475368761,-9.974907540868925e-9,1.1000000094259375,-9.974974299039688e-9
10004,0.06886184048301823,-9.974920688316513e-9,1.099999944631317,-9.974961207755906e-9
10005,0.07311584732830642,-9.974914480573651e-9,1.0208404896616003,-9.974967392396622e-9
10006,0.02809727461162737,-9.974916795128656e-9,0.995346560905578,-9.974965087170386e-9
10007,0.02786548006988099,-9.97491937440923e-9,1.0403762603334585,-9.974962517283886e-9
10008,0.1727813663348262,-9.974859919393145e-9,1.024596214399281,-9.975021488581718e-9
10009,0.17288825995713575,-9.974860634235069e-9,1.0242505986555972,-9.975020782858502e-9
1001,-0.17838939307700705,-9.975282131122933e-9,1.0123590196205914,-9.974590248039422e-9
10010,0.42575105417723563,-9.974940512723953e-9,1.009553915714968,-9.974941416091301e-9
10011,0.43544414973011925,-9.97494055631072e-9,1.008679430335791,-9.974941372507519e-9
10012,0.4332543638480331,-9.974940557801054e-9,1.0089365452993253,-9.974941371017288e-9
10013,-0.0316418250462253,-9.974913472495137e-9,1.1000000103820884,-9.974968396146458e-9
10014,-0.02206174070271181,-9.974914190821898e-9,1.0079550374094397,-9.974967680920705e-9
10015,0.3596796978814624,-9.974939332681099e-9,1.0041329167146889,-9.974942595937962e-9
10016,0.35622976468786766,-9.974939287361043e-9,1.0045508960489402,-9.974942641246059e-9
10017,0.36297460215384886,-9.974939187083944e-9,1.003606719579437,-9.974942741495512e-9
10018,0.37198002022603327,-9.97493936052234e-9,1.0028406980277036,-9.974942568103912e-9
10019,-0.17624089770472057,-9.974774325588506e-9,1.0446095641659698,-9.975105416085224e-9
10020,-0.1769332812945276,-9.974774167354567e-9,1.0445747493191644,-9.975105570190812e-9
10021,0.057372359345827476,-9.974913366765374e-9,1.047737661113119,-9.974968501412886e-9
10022,0.05811828264814951,-9.974913347260698e-9,1.0474285997671016,-9.974968520831885e-9
10023,-0.16243848310364678,-9.974915445146654e-9,1.046941837072905,-9.97496643181462e-9
10024,-0.1606201933089142,-9.974915317835489e-9,1.0473446747033759,-9.974966558607481e-9
10025,-0.1417565332294499,-9.974910115511431e-9,1.017620573194044,-9.974971737553617e-9
10026,-0.14142308465251924,-9.974910144318236e-9,1.0176846074991392,-9.974971708888081e-9
10027,0.297316412058693,-9.974940515769066e-9,0.9005161089695003,-9.974941413046415e-9
10028,0.2579295139560219,-9.97486802891059e-9,1.0122379918981617,-9.975013477813594e-9
10029,-0.20963597081094118,-9.974776811026083e-9,1.00561923858933,-9.975102994988945e-9
1003,-0.22766817305080453,-9.975332393502208e-9,0.9690004584840581,-9.974536912524244e-9
10031,-0.022749461650883773,-9.974548622191014e-9,1.0042730833452584,-9.975321394081317e-9
10032,-0.02253659697076446,-9.974548699463282e-9,1.004312735113907,-9.975321321429763e-9
10033,-0.02354646591782179,-9.974548389508481e-9,1.0040868291832623,-9.97532161284469e-9
10034,-0.08045468228487393,-9.974655960139827e-9,0.9869078155449799,-9.975219629989634e-9
10035,-0.07857960597223172,-9.974656218617635e-9,0.9852019103894142,-9.97521938287646e-9
10036,-0.07778157840909113,-9.974658401166188e-9,0.9854253485157859,-9.975217295891597e-9
10037,-0.056715170615950466,-9.974868602595289e-9,0.9280631222342395,-9.975012910724182e-9
10039,0.38411093823175163,-9.974930677898389e-9,0.9564547829300097,-9.97495124249502e-9
1004,-0.6423868226870709,-9.975004665802166e-9,1.0694716263468897,-9.974876937509898e-9
10040,0.3659692805957497,-9.97492970324042e-9,0.9634576200070175,-9.974952215478978e-9
10042,0.37064328697594445,-9.974929202108825e-9,0.9607278581700832,-9.97495271569099e-9
10043,0.36889442864926403,-9.974929500097945e-9,0.9617567884104641,-9.974952418253502e-9
10045,0.195806772069383,-9.974867216752737e-9,0.9275857501505808,-9.975014280546356e-9
10046,0.19564704987728376,-9.974867917897627e-9,0.9262525092445906,-9.975013587544368e-9
10047,0.019794782317807385,-9.974575142415711e-9,1.0357455495709547,-9.975296408578636e-9
10048,0.020250503666625987,-9.974576162354458e-9,1.037035698746142,-9.97529544561125e-9
10049,-0.6332688296396891,-9.97497146104829e-9,1.0256095816229676,-9.974910393373866e-9
1005,-0.642080162040185,-9.975004898159172e-9,1.0692978798928219,-9.97487670276772e-9
10050,-0.6288816357220658,-9.974972202677568e-9,1.0266929738819721,-9.97490964807691e-9
10051,-0.6083037663491161,-9.974957349943213e-9,1.041186796504937,-9.974924557432039e-9
10052,-0.5989849930837472,-9.974957318501143e-9,1.0437733760073784,-9.974924588956435e-9
10053,-0.600522845025364,-9.974973319343233e-9,1.062594333485963,-9.974908525722047e-9
