ind,pt,pf
1,1.6780713373674394,-1.6769077324698758
10,1.2493988290987124,-1.246109123724078
11,1.7959691498869208,-1.7939298841440172
12,1.7959691498869208,-1.7939298841440172
2,-0.0006619850841159757,0.0006619862599962619
3,-0.0006619850841159757,0.0006619862599962619
4,-0.0006619850841159757,0.0006619862599962619
5,0.013991516239555623,-0.013991109736217984
6,5.512167427905067,-5.466188299020078
7,-0.011032900299525038,0.011032969906198797
8,-0.011032900299525038,0.011032969906198797
9,1.2493988290987124,-1.246109123724078
