"Component ","Description ","Line length ","R (per km) propagation mode or sequence data [3]","L (per km) propagation mode or sequence data [3]","C (per km) propagation mode or sequence data [3]","Base power ","Base voltage ","Base frequency ","EMTP (.pun) file for line parameters calculation","Continuously transposed line","Transformation matrix Untransposed line [9]","L-C units in EMTP (.pun) file"
line_1061_to_1311_1,0.0,6484.42166677407000,[1.821666059037677 0.1821666059037677 0.1821666059037677],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.669863449367802e-009 1.13397268987356e-008 1.13397268987356e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1090_to_1092_1,0.0,116132.3957289333000,[0.2451846022980131 0.02451846022980132 0.02451846022980132],[0.002864788975654116 0.0009549296585513719 0.0009549296585513719],[9.227683785178234e-009 1.845536757035647e-008 1.845536757035647e-008],33333333.33333333,288675.1345948129,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1090_to_1092_2,0.0,114764.0694855708000,[0.2445244812298878 0.02445244812298877 0.02445244812298877],[0.002864788975654116 0.000954929658551372 0.000954929658551372],[9.40484992905986e-009 1.880969985811972e-008 1.880969985811972e-008],33333333.33333333,288675.1345948129,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1091_to_1132_1,0.0,18001.70130685622000,[0.3873640182391787 0.03873640182391786 0.03873640182391786],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.500659380160824e-009 1.300131876032165e-008 1.300131876032165e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1091_to_1132_2,0.0,17168.45312132108000,[0.3934798828683818 0.03934798828683819 0.03934798828683819],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.014990688807788e-009 1.402998137761558e-008 1.402998137761558e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1091_to_1149_1,0.0,24268.47871638391000,[0.3854734688069596 0.03854734688069596 0.03854734688069596],[0.003724225668350352 0.001241408556116784 0.001241408556116784],[6.792734048567159e-009 1.358546809713432e-008 1.358546809713432e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1091_to_1150_1,0.0,85230.8720196862000,[0.3984657305056032 0.03984657305056033 0.03984657305056033],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.82377406319126e-009 1.564754812638252e-008 1.564754812638252e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1093_to_1120_1,0.0,18023.97912056153000,[0.3860815211917896 0.03860815211917897 0.03860815211917897],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.623008349277496e-009 1.524601669855499e-008 1.524601669855499e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1093_to_1138_1,0.0,40892.17086728075000,[0.3823880618416309 0.03823880618416309 0.03823880618416309],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.583516876020466e-009 1.316703375204093e-008 1.316703375204093e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1093_to_1140_1,0.0,19118.88025334873000,[0.3976278294576452 0.03976278294576452 0.03976278294576452],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.138230125739236e-009 1.427646025147847e-008 1.427646025147847e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1094_to_1213_1,0.0,2484.45534260386000,[1.33889581666211 0.133889581666211 0.133889581666211],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[1.081918937931288e-008 2.163837875862576e-008 2.163837875862576e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1094_to_1227_1,0.0,2689.202757022617000,[1.235023715163407 0.1235023715163407 0.1235023715163407],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[1.019697151286181e-008 2.039394302572362e-008 2.039394302572362e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1094_to_1325_1,0.0,1946.942822469478000,[0.9506970692206773 0.09506970692206772 0.09506970692206772],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[5.080948339170096e-008 1.016189667834019e-007 1.016189667834019e-007],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1094_to_1439_1,0.0,1209.933145132607000,[1.226948625276328 0.1226948625276328 0.1226948625276328],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[3.105461760208449e-008 6.210923520416898e-008 6.210923520416898e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1094_to_1442_1,0.0,1207.975912698511000,[1.18755318891254 0.118755318891254 0.118755318891254],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[3.089528693388323e-008 6.179057386776646e-008 6.179057386776646e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1095_to_1104_1,0.0,111733.2908323751000,[0.5357457169418361 0.05357457169418361 0.05357457169418361],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.902361868130147e-009 1.380472373626029e-008 1.380472373626029e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1095_to_1109_1,0.0,130051.1148020728000,[0.3067142764872949 0.03067142764872948 0.03067142764872948],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[8.208088673975844e-009 1.641617734795169e-008 1.641617734795169e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1095_to_1143_1,0.0,81782.54028562682000,[0.3249706742475144 0.03249706742475143 0.03249706742475143],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[8.423673032970994e-009 1.684734606594199e-008 1.684734606594199e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1095_to_1145_1,0.0,92937.43788326785000,[0.4822595927793912 0.04822595927793912 0.04822595927793912],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.381174980338314e-009 1.276234996067663e-008 1.276234996067663e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1095_to_1145_2,0.0,98691.16315420685000,[0.6029537845576322 0.06029537845576322 0.06029537845576322],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.398769169938132e-009 1.279753833987626e-008 1.279753833987626e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1096_to_1105_1,0.0,9566.413750350282000,[0.3659050216415474 0.03659050216415474 0.03659050216415474],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.05197909299653e-009 1.210395818599306e-008 1.210395818599306e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1096_to_1119_1,0.0,59651.03608663053000,[0.5438355691774074 0.05438355691774074 0.05438355691774074],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.56953316050399e-009 1.313906632100798e-008 1.313906632100798e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1096_to_1120_1,0.0,36161.91307719306000,[0.3354839505787395 0.03354839505787394 0.03354839505787394],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[5.982224919810159e-009 1.196444983962032e-008 1.196444983962032e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1097_to_1121_1,0.0,123123.5818089142000,[0.2210281439599511 0.02210281439599511 0.02210281439599511],[0.002864788975654116 0.0009549296585513719 0.0009549296585513719],[8.793127468389864e-009 1.758625493677973e-008 1.758625493677973e-008],33333333.33333333,288675.1345948129,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1097_to_1121_2,0.0,117869.9651885934000,[0.2355617770034153 0.02355617770034153 0.02355617770034153],[0.002864788975654115 0.000954929658551372 0.000954929658551372],[8.828925898095707e-009 1.765785179619141e-008 1.765785179619141e-008],33333333.33333333,288675.1345948129,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1098_to_1119_1,0.0,13548.09907260227000,[0.288733641021515 0.0288733641021515 0.0288733641021515],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[1.030478755423277e-008 2.060957510846553e-008 2.060957510846553e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1098_to_1119_2,0.0,12809.66150158582000,[0.3116552044713424 0.03116552044713424 0.03116552044713424],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[1.083490296116563e-008 2.166980592233126e-008 2.166980592233126e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1098_to_1125_1,0.0,49824.52444705525000,[0.5225222291528238 0.05225222291528238 0.05225222291528238],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.307349234818359e-009 1.261469846963672e-008 1.261469846963672e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1098_to_1144_1,0.0,95441.63936544847000,[0.5217193327368378 0.05217193327368378 0.05217193327368378],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.243842248065097e-009 1.248768449613019e-008 1.248768449613019e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1099_to_1121_1,0.0,188218.7298084842000,[0.2321285120223265 0.02321285120223265 0.02321285120223265],[0.002864788975654116 0.0009549296585513719 0.0009549296585513719],[8.616600229957696e-009 1.723320045991539e-008 1.723320045991539e-008],33333333.33333333,288675.1345948129,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1099_to_1156_1,0.0,96431.74352185666000,[0.2197867521299106 0.02197867521299106 0.02197867521299106],[0.002864788975654117 0.000954929658551372 0.000954929658551372],[8.976834482768011e-009 1.795366896553602e-008 1.795366896553602e-008],33333333.33333333,288675.1345948129,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1100_to_1115_1,0.0,4945.258366869881000,[0.4132304294596293 0.04132304294596293 0.04132304294596293],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[7.09359072677353e-009 1.418718145354706e-008 1.418718145354706e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1100_to_1115_2,0.0,4789.494980540272000,[0.4163093854076918 0.04163093854076918 0.04163093854076918],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.818141733622903e-009 1.563628346724581e-008 1.563628346724581e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1100_to_1133_1,0.0,132516.7613701475000,[0.4160472625828737 0.04160472625828738 0.04160472625828738],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[7.501481254219691e-009 1.500296250843938e-008 1.500296250843938e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1100_to_1144_1,0.0,150990.2070350234000,[0.4068504225798488 0.04068504225798489 0.04068504225798489],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.523633653211663e-009 1.504726730642333e-008 1.504726730642333e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1101_to_1114_1,0.0,1678.004270505382000,[0.4424991868200942 0.04424991868200941 0.04424991868200941],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.043907792571495e-009 1.208781558514299e-008 1.208781558514299e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1102_to_1103_1,0.0,54033.77331344543000,[0.4930930953027036 0.04930930953027036 0.04930930953027036],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.176186157983983e-009 1.235237231596797e-008 1.235237231596797e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1102_to_1114_1,0.0,111527.3155253934000,[0.5352431336634278 0.05352431336634279 0.05352431336634279],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.286541171549825e-009 1.257308234309965e-008 1.257308234309965e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1103_to_1118_1,0.0,83289.60098275833000,[0.5365558372719044 0.05365558372719043 0.05365558372719043],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.404483103894868e-009 1.280896620778974e-008 1.280896620778974e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1103_to_1148_1,0.0,88890.88943449619000,[0.4665735559742909 0.04665735559742909 0.04665735559742909],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.216593109342383e-009 1.243318621868477e-008 1.243318621868477e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1103_to_1154_1,0.0,41516.87389670256000,[0.3802637646178988 0.03802637646178988 0.03802637646178988],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.688645100098159e-009 1.337729020019632e-008 1.337729020019632e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1103_to_1158_1,0.0,36940.15989272859000,[0.4799053899682555 0.04799053899682556 0.04799053899682556],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[6.224751360209084e-009 1.244950272041817e-008 1.244950272041817e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1104_to_1116_1,0.0,151270.5694369958000,[0.5108438928689307 0.05108438928689308 0.05108438928689308],[0.003724225668350352 0.001241408556116784 0.001241408556116784],[6.311449267082685e-009 1.262289853416537e-008 1.262289853416537e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1105_to_1114_1,0.0,37802.13115043528000,[0.4793233959530108 0.04793233959530107 0.04793233959530107],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.000396792806638e-009 1.200079358561328e-008 1.200079358561328e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1105_to_1119_1,0.0,58587.24226401869000,[0.5100717432934172 0.05100717432934172 0.05100717432934172],[0.003724225668350352 0.001241408556116784 0.001241408556116784],[6.528636547365628e-009 1.305727309473126e-008 1.305727309473126e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1105_to_1140_1,0.0,59835.81984309029000,[0.3405930556273186 0.03405930556273186 0.03405930556273186],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.626620165070802e-009 1.32532403301416e-008 1.32532403301416e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1106_to_1151_1,0.0,128881.6262204984000,[0.5039712599779976 0.05039712599779976 0.05039712599779976],[0.00372422566835035 0.001241408556116784 0.001241408556116784],[6.349312368717343e-009 1.269862473743469e-008 1.269862473743469e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1107_to_1111_1,0.0,7030.961618159277000,[0.3946942954416786 0.03946942954416785 0.03946942954416785],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[2.603612178117537e-007 5.207224356235073e-007 5.207224356235073e-007],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1107_to_1111_2,0.0,7380.115834461207000,[0.4001383546380676 0.04001383546380676 0.04001383546380676],[0.003724225668350352 0.001241408556116784 0.001241408556116784],[2.465381800093329e-007 4.930763600186658e-007 4.930763600186658e-007],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1108_to_1208_1,0.0,34583.6208975465000,[1.72785930252975 0.172785930252975 0.172785930252975],[0.004774648292756861 0.001591549430918953 0.001591549430918953],[6.903867316296135e-009 1.380773463259227e-008 1.380773463259227e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1108_to_1293_1,0.0,37126.51670224272000,[1.672612054448942 0.1672612054448943 0.1672612054448943],[0.00477464829275686 0.001591549430918953 0.001591549430918953],[5.920881632062215e-009 1.184176326412443e-008 1.184176326412443e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1108_to_1376_1,0.0,1155.440371237816000,[1.53232063996088 0.153232063996088 0.153232063996088],[0.004774648292756859 0.001591549430918953 0.001591549430918953],[5.733607822894478e-009 1.146721564578896e-008 1.146721564578896e-008],33333333.33333333,76210.2355330306,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1109_to_1143_1,0.0,48700.4846482323000,[0.2992531566942859 0.02992531566942859 0.02992531566942859],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.965680762975828e-009 1.593136152595166e-008 1.593136152595166e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1109_to_3650_1,0.0,124196.9000852563000,[0.3207175088643882 0.03207175088643881 0.03207175088643881],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[8.230409777155531e-009 1.646081955431106e-008 1.646081955431106e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1109_to_3650_2,0.0,123417.7633364303000,[0.3217387588559036 0.03217387588559036 0.03217387588559036],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[8.683571634264596e-009 1.736714326852919e-008 1.736714326852919e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1110_to_1511_1,0.0,12332.55679737722000,[0.3239458396620685 0.03239458396620686 0.03239458396620686],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[3.946432330844629e-007 7.892864661689258e-007 7.892864661689258e-007],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1111_to_1144_1,0.0,8494.157891267438000,[0.3273171990364812 0.03273171990364812 0.03273171990364812],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.402569761372945e-009 1.280513952274589e-008 1.280513952274589e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1111_to_1144_2,0.0,8117.50816141895000,[0.3523283669683285 0.03523283669683284 0.03523283669683284],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.685761850546125e-009 1.337152370109225e-008 1.337152370109225e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1112_to_1140_1,0.0,16339.16291988721000,[0.3992875761801998 0.03992875761801998 0.03992875761801998],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.621315258293041e-009 1.524263051658608e-008 1.524263051658608e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1112_to_1152_1,0.0,92696.50787920834000,[0.4237983091510873 0.04237983091510873 0.04237983091510873],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[8.11065216357876e-009 1.622130432715752e-008 1.622130432715752e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1113_to_1151_1,0.0,85392.46065700347000,[0.5096109665795328 0.05096109665795328 0.05096109665795328],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.496087616938533e-009 1.299217523387707e-008 1.299217523387707e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1113_to_2195_1,0.0,35990.34753180059000,[0.4960638158875202 0.04960638158875202 0.04960638158875202],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.321846724231512e-009 1.264369344846302e-008 1.264369344846302e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1115_to_1126_1,0.0,13769.73717921602000,[0.5232939677388613 0.05232939677388613 0.05232939677388613],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[7.996977631158709e-009 1.599395526231742e-008 1.599395526231742e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
line_1115_to_1132_1,0.0,88706.05266832577000,[0.3741311936208407 0.03741311936208408 0.03741311936208408],[0.003724225668350351 0.001241408556116784 0.001241408556116784],[6.660820591583787e-009 1.332164118316757e-008 1.332164118316757e-008],33333333.33333333,190525.5888325765,50,,1,[0.5952 -0.41319 -0.70711 0.53987 0.81151 1e-008 0.5952 -0.41319 0.70711],0
