"Component ","Description ","Primary winding connection","Primary resistance [3]","Primary leakage inductance [3]","Primary winding voltage [3]","Secondary winding connection","Secondary resistance [3]","Secondary leakage inductance [3]","Secondary winding voltage [3]","Magnetization resistance [3]","Magnetization inductance [3]","Primary neutral resistance [4]","Primary neutral inductance [4]","Primary neutral capacitance [4]","Secondary neutral resistance [4]","Secondary neutral inductance [4]","Secondary neutral capacitance [4]","Base primary winding voltage","Base secondary winding voltage","Base power ","Base frequency "
xf_1024_to_1564_5,0.0,Yg,[4.761e-010 4.761e-010 4.761e-010],[1.515473368121028e-014 1.515473368121028e-014 1.515473368121028e-014],[418.2902700278839000 418.2902700278839000 418.2902700278839000],Yg,[0.1050095547260352 0.1050095547260352 0.1050095547260352],[0.002494973708868158 0.002494973708868158 0.002494973708868158],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[4761.000000000001 4761.000000000001 4761.000000000001],[15.15473368121028 15.15473368121028 15.15473368121028],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],398.3716857408418,19052.55888325765,33333333.33333333,50
xf_1025_to_1565_1,0.0,Yg,[4.761e-010 4.761e-010 4.761e-010],[1.515473368121028e-014 1.515473368121028e-014 1.515473368121028e-014],[398.3716857408418000 398.3716857408418000 398.3716857408418000],Yg,[0.07122930228505006 0.07122930228505006 0.07122930228505006],[0.002141261720307344 0.002141261720307344 0.002141261720307344],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[4761.000000000001 4761.000000000001 4761.000000000001],[15.15473368121028 15.15473368121028 15.15473368121028],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],398.3716857408418,19052.55888325765,33333333.33333333,50
xf_1061_to_1083_1,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[74304.97964470483000 74304.97964470483000 74304.97964470483000],Yg,[0.5127098044707984 0.5127098044707984 0.5127098044707984],[0.02677152175522219 0.02677152175522219 0.02677152175522219],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1061_to_1083_2,0.0,Yg,[1.7424e-007 1.7424e-007 1.7424e-007],[5.54623145686637e-010 5.54623145686637e-010 5.54623145686637e-010],[74304.97964470483000 74304.97964470483000 74304.97964470483000],Yg,[0.2143902439816016 0.2143902439816016 0.2143902439816016],[0.02569838935851231 0.02569838935851231 0.02569838935851231],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,38105.1177665153,33333333.33333333,50
xf_1090_to_1004_5,0.0,Yg,[2.5e-006 2.5e-006 2.5e-006],[7.957747154594767e-009 7.957747154594767e-009 7.957747154594767e-009],[298345.7516037391000 298345.7516037391000 298345.7516037391000],Yg,[0.003442572354575676 0.003442572354575676 0.003442572354575676],[0.0007153748373714135 0.0007153748373714135 0.0007153748373714135],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[2500000000 2500000000 2500000000],[7957747.154594767 7957747.154594767 7957747.154594767],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],288675.1345948129,13279.05619136139,33333333.33333333,50
xf_1090_to_1004_6,0.0,Yg,[2.5e-006 2.5e-006 2.5e-006],[7.957747154594767e-009 7.957747154594767e-009 7.957747154594767e-009],[298345.7516037391000 298345.7516037391000 298345.7516037391000],Yg,[0.003527871034017873 0.003527871034017873 0.003527871034017873],[0.0007365252558426721 0.0007365252558426721 0.0007365252558426721],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[2500000000 2500000000 2500000000],[7957747.154594767 7957747.154594767 7957747.154594767],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],288675.1345948129,13279.05619136139,33333333.33333333,50
xf_1090_to_1005_7,0.0,Yg,[2.5e-006 2.5e-006 2.5e-006],[7.957747154594767e-009 7.957747154594767e-009 7.957747154594767e-009],[298345.7516037391000 298345.7516037391000 298345.7516037391000],Yg,[0.00326905335264683 0.00326905335264683 0.00326905335264683],[0.0007283268444114023 0.0007283268444114023 0.0007283268444114023],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[2500000000 2500000000 2500000000],[7957747.154594767 7957747.154594767 7957747.154594767],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],288675.1345948129,13279.05619136139,33333333.33333333,50
xf_1090_to_1005_8,0.0,Yg,[2.5e-006 2.5e-006 2.5e-006],[7.957747154594767e-009 7.957747154594767e-009 7.957747154594767e-009],[298345.7516037391000 298345.7516037391000 298345.7516037391000],Yg,[0.003169021165244792 0.003169021165244792 0.003169021165244792],[0.000719814950930864 0.000719814950930864 0.000719814950930864],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[2500000000 2500000000 2500000000],[7957747.154594767 7957747.154594767 7957747.154594767],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],288675.1345948129,13279.05619136139,33333333.33333333,50
xf_1091_to_1002_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[189447.0985297303000 189447.0985297303000 189447.0985297303000],Yg,[0.003587826242167922 0.003587826242167922 0.003587826242167922],[0.0006212507724448568 0.0006212507724448568 0.0006212507724448568],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,13279.05619136139,33333333.33333333,50
xf_1091_to_1002_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[189447.0985297303000 189447.0985297303000 189447.0985297303000],Yg,[0.002494027319236072 0.002494027319236072 0.002494027319236072],[0.0006317758353215593 0.0006317758353215593 0.0006317758353215593],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,13279.05619136139,33333333.33333333,50
xf_1091_to_1003_3,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[189447.0985297303000 189447.0985297303000 189447.0985297303000],Yg,[0.002563123817103069 0.002563123817103069 0.002563123817103069],[0.0006314833890358866 0.0006314833890358866 0.0006314833890358866],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,13279.05619136139,33333333.33333333,50
xf_1091_to_1003_4,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[189447.0985297303000 189447.0985297303000 189447.0985297303000],Yg,[0.005286809470295015 0.005286809470295015 0.005286809470295015],[0.0006261517020552308 0.0006261517020552308 0.0006261517020552308],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,13279.05619136139,33333333.33333333,50
xf_1095_to_1159_3,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[214341.2874366486000 214341.2874366486000 214341.2874366486000],Yg,[0.0703467750387937 0.0703467750387937 0.0703467750387937],[0.02583265834123161 0.02583265834123161 0.02583265834123161],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1095_to_1159_4,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[214341.2874366486000 214341.2874366486000 214341.2874366486000],Yg,[0.06804113196864721 0.06804113196864721 0.06804113196864721],[0.02419332074897507 0.02419332074897507 0.02419332074897507],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1099_to_1019_5,0.0,Yg,[2.5e-006 2.5e-006 2.5e-006],[7.957747154594767e-009 7.957747154594767e-009 7.957747154594767e-009],[302170.6971371204000 302170.6971371204000 302170.6971371204000],Yg,[0.003855556101178053 0.003855556101178053 0.003855556101178053],[0.0006659475307772252 0.0006659475307772252 0.0006659475307772252],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[2500000000 2500000000 2500000000],[7957747.154594767 7957747.154594767 7957747.154594767],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],288675.1345948129,13279.05619136139,33333333.33333333,50
xf_1099_to_1019_6,0.0,Yg,[2.5e-006 2.5e-006 2.5e-006],[7.957747154594767e-009 7.957747154594767e-009 7.957747154594767e-009],[302170.6971371204000 302170.6971371204000 302170.6971371204000],Yg,[0.00384338122627358 0.00384338122627358 0.00384338122627358],[0.0006923986747953913 0.0006923986747953913 0.0006923986747953913],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[2500000000 2500000000 2500000000],[7957747.154594767 7957747.154594767 7957747.154594767],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],288675.1345948129,13279.05619136139,33333333.33333333,50
xf_1099_to_1020_7,0.0,Yg,[2.5e-006 2.5e-006 2.5e-006],[7.957747154594767e-009 7.957747154594767e-009 7.957747154594767e-009],[302170.6971371204000 302170.6971371204000 302170.6971371204000],Yg,[0.003836747455163255 0.003836747455163255 0.003836747455163255],[0.0006986086284218734 0.0006986086284218734 0.0006986086284218734],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[2500000000 2500000000 2500000000],[7957747.154594767 7957747.154594767 7957747.154594767],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],288675.1345948129,13279.05619136139,33333333.33333333,50
xf_1099_to_1020_8,0.0,Yg,[2.5e-006 2.5e-006 2.5e-006],[7.957747154594767e-009 7.957747154594767e-009 7.957747154594767e-009],[302170.6971371204000 302170.6971371204000 302170.6971371204000],Yg,[0.003709052672957955 0.003709052672957955 0.003709052672957955],[0.0007129879749307972 0.0007129879749307972 0.0007129879749307972],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[2500000000 2500000000 2500000000],[7957747.154594767 7957747.154594767 7957747.154594767],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],288675.1345948129,13279.05619136139,33333333.33333333,50
xf_1100_to_1017_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[195759.8463730496000 195759.8463730496000 195759.8463730496000],Yg,[0.003219112657062616 0.003219112657062616 0.003219112657062616],[0.000637865325158154 0.000637865325158154 0.000637865325158154],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,13279.05619136139,33333333.33333333,50
xf_1100_to_1017_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[195759.8463730496000 195759.8463730496000 195759.8463730496000],Yg,[0.002486079037603993 0.002486079037603993 0.002486079037603993],[0.0006647077482946867 0.0006647077482946867 0.0006647077482946867],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,13279.05619136139,33333333.33333333,50
xf_1100_to_1018_3,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[195759.8463730496000 195759.8463730496000 195759.8463730496000],Yg,[0.003132085927926503 0.003132085927926503 0.003132085927926503],[0.0006237246836001715 0.0006237246836001715 0.0006237246836001715],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,13279.05619136139,33333333.33333333,50
xf_1100_to_1018_4,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[195759.8463730496000 195759.8463730496000 195759.8463730496000],Yg,[0.002952175777327277 0.002952175777327277 0.002952175777327277],[0.0006070865317990569 0.0006070865317990569 0.0006070865317990569],[13279.05619136139000 13279.05619136139000 13279.05619136139000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,13279.05619136139,33333333.33333333,50
xf_1101_to_1022_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[190525.5888325765000 190525.5888325765000 190525.5888325765000],Yg,[0.009399880438337333 0.009399880438337333 0.009399880438337333],[0.0009340146690028497 0.0009340146690028497 0.0009340146690028497],[9237.604307034013000 9237.604307034013000 9237.604307034013000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,9237.604307034013,33333333.33333333,50
xf_1102_to_1564_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[190525.5888325765000 190525.5888325765000 190525.5888325765000],Yg,[0.01589276430441879 0.01589276430441879 0.01589276430441879],[0.002140973930857991 0.002140973930857991 0.002140973930857991],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,19052.55888325765,33333333.33333333,50
xf_1102_to_1564_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[190525.5888325765000 190525.5888325765000 190525.5888325765000],Yg,[0.01575415352344187 0.01575415352344187 0.01575415352344187],[0.002289847387206527 0.002289847387206527 0.002289847387206527],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,19052.55888325765,33333333.33333333,50
xf_1102_to_1565_3,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[185381.397934097000 185381.397934097000 185381.397934097000],Yg,[0.0184665555317232 0.0184665555317232 0.0184665555317232],[0.003020223816866641 0.003020223816866641 0.003020223816866641],[19052.55888325765000 19052.55888325765000 19052.55888325765000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,19052.55888325765,33333333.33333333,50
xf_1103_to_1165_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[196241.3564975538000 196241.3564975538000 196241.3564975538000],Yg,[0.1491842659739815 0.1491842659739815 0.1491842659739815],[0.02474576379094533 0.02474576379094533 0.02474576379094533],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1103_to_1165_4,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0 0 0],[0.02447868892831282 0.02447868892831282 0.02447868892831282],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1104_to_1164_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[203862.3800508569000 203862.3800508569000 203862.3800508569000],Yg,[0.09479687434722478 0.09479687434722478 0.09479687434722478],[0.02550463067195008 0.02550463067195008 0.02550463067195008],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1105_to_1166_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[200051.8682742054000 200051.8682742054000 200051.8682742054000],Yg,[0.1354322845943391 0.1354322845943391 0.1354322845943391],[0.02642577376057469 0.02642577376057469 0.02642577376057469],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1105_to_1166_2,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[200051.8682742054000 200051.8682742054000 200051.8682742054000],Yg,[0.08064681917323847 0.08064681917323847 0.08064681917323847],[0.0248028969727513 0.0248028969727513 0.0248028969727513],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1105_to_1166_3,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[200051.8682742054000 200051.8682742054000 200051.8682742054000],Yg,[0.142196762346214 0.142196762346214 0.142196762346214],[0.02496240504783598 0.02496240504783598 0.02496240504783598],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1105_to_1166_4,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[200051.8682742054000 200051.8682742054000 200051.8682742054000],Yg,[0.1926343805091758 0.1926343805091758 0.1926343805091758],[0.02642361992032995 0.02642361992032995 0.02642361992032995],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
xf_1106_to_1168_1,0.0,Yg,[1.089e-006 1.089e-006 1.089e-006],[3.466394660541481e-009 3.466394660541481e-009 3.466394660541481e-009],[198146.6123858796000 198146.6123858796000 198146.6123858796000],Yg,[0 0 0],[0.02396237164251287 0.02396237164251287 0.02396237164251287],[80020.74730968214000 80020.74730968214000 80020.74730968214000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,76210.2355330306,33333333.33333333,50
