"Component ","Connection type ","R Quality factor [3]","C [3] ","Base power ","Base voltage ","Base frequency ","Description ","Enable user initial value [3]","Initial voltage [3]"
fSH_2082_C3,Yg,[0 0 0],[1.696166407887214e-006 1.696166407887214e-006 1.696166407887214e-006],33333333.33333333,95262.79441628826,50,0.0,[0 0 0],[0 0 0]
fSH_2112_C1,Yg,[0 0 0],[1.312013124633247e-005 1.312013124633247e-005 1.312013124633247e-005],33333333.33333333,127017.0592217177,50,0.0,[0 0 0],[0 0 0]
fSH_2168_C1,Yg,[0 0 0],[1.265259579514492e-005 1.265259579514492e-005 1.265259579514492e-005],33333333.33333333,127017.0592217177,50,0.0,[0 0 0],[0 0 0]
fSH_2246_C1,Yg,[0 0 0],[5.969359835035044e-005 5.969359835035044e-005 5.969359835035044e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_2247_C2,Yg,[0 0 0],[6.107969954109617e-005 6.107969954109617e-005 6.107969954109617e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_2248_C1,Yg,[0 0 0],[3.769481122930247e-005 3.769481122930247e-005 3.769481122930247e-005],33333333.33333333,38105.1177665153,50,0.0,[0 0 0],[0 0 0]
fSH_2348_C3,Yg,[0 0 0],[0.0001978205944853073 0.0001978205944853073 0.0001978205944853073],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_2355_C1,Yg,[0 0 0],[3.502448606795466e-006 3.502448606795466e-006 3.502448606795466e-006],33333333.33333333,95262.79441628826,50,0.0,[0 0 0],[0 0 0]
fSH_2355_C2,Yg,[0 0 0],[3.440936887709006e-006 3.440936887709006e-006 3.440936887709006e-006],33333333.33333333,95262.79441628826,50,0.0,[0 0 0],[0 0 0]
fSH_2355_C3,Yg,[0 0 0],[1.671880112064864e-006 1.671880112064864e-006 1.671880112064864e-006],33333333.33333333,95262.79441628826,50,0.0,[0 0 0],[0 0 0]
fSH_3007_C1,Yg,[0 0 0],[1.486788652247748e-005 1.486788652247748e-005 1.486788652247748e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3020_C1,Yg,[0 0 0],[5.740831255531814e-005 5.740831255531814e-005 5.740831255531814e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3029_C2,Yg,[0 0 0],[2.950433794602059e-005 2.950433794602059e-005 2.950433794602059e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3049_C2,Yg,[0 0 0],[5.814416981082226e-005 5.814416981082226e-005 5.814416981082226e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3193_C1,Yg,[0 0 0],[5.638205714361686e-005 5.638205714361686e-005 5.638205714361686e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3228_C2,Yg,[0 0 0],[0.0001348292943175519 0.0001348292943175519 0.0001348292943175519],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3303_C2,Yg,[0 0 0],[0.0003551315629734146 0.0003551315629734146 0.0003551315629734146],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3304_C1,Yg,[0 0 0],[0.0003764128276917424 0.0003764128276917424 0.0003764128276917424],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3320_C1,Yg,[0 0 0],[5.821304347707333e-005 5.821304347707333e-005 5.821304347707333e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3331_C2,Yg,[0 0 0],[4.923615295895744e-005 4.923615295895744e-005 4.923615295895744e-005],33333333.33333333,12701.70592217177,50,0.0,[0 0 0],[0 0 0]
fSH_3331_C7,Yg,[0 0 0],[4.635318676099887e-005 4.635318676099887e-005 4.635318676099887e-005],33333333.33333333,12701.70592217177,50,0.0,[0 0 0],[0 0 0]
fSH_3335_C6,Yg,[0 0 0],[0.0001238732928400713 0.0001238732928400713 0.0001238732928400713],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3336_14,Yg,[0 0 0],[0.0001281125779548713 0.0001281125779548713 0.0001281125779548713],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3339_C1,Yg,[0 0 0],[5.833726997569114e-005 5.833726997569114e-005 5.833726997569114e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3347_C2,Yg,[0 0 0],[5.742926064401284e-005 5.742926064401284e-005 5.742926064401284e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3351_C1,Yg,[0 0 0],[5.901263550611862e-005 5.901263550611862e-005 5.901263550611862e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3355_C2,Yg,[0 0 0],[5.879932669141336e-005 5.879932669141336e-005 5.879932669141336e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3361_C6,Yg,[0 0 0],[0.0001263413825330831 0.0001263413825330831 0.0001263413825330831],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3361_C7,Yg,[0 0 0],[0.0001316807739910208 0.0001316807739910208 0.0001316807739910208],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3365_C1,Yg,[0 0 0],[5.728299864766904e-005 5.728299864766904e-005 5.728299864766904e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3367_C3,Yg,[0 0 0],[0.0001319866374632807 0.0001319866374632807 0.0001319866374632807],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3388_C2,Yg,[0 0 0],[0.0001268468011176541 0.0001268468011176541 0.0001268468011176541],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3389_C5,Yg,[0 0 0],[0.0001322740898579849 0.0001322740898579849 0.0001322740898579849],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3396_C1,Yg,[0 0 0],[5.819577802535646e-005 5.819577802535646e-005 5.819577802535646e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3409_C3,Yg,[0 0 0],[0.0001287958537856367 0.0001287958537856367 0.0001287958537856367],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3410_C1,Yg,[0 0 0],[0.0001323633880479858 0.0001323633880479858 0.0001323633880479858],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_3505_C1,Yg,[0 0 0],[5.998515712524241e-005 5.998515712524241e-005 5.998515712524241e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3521_C2,Yg,[0 0 0],[5.555427091496461e-005 5.555427091496461e-005 5.555427091496461e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_3642_C2,Yg,[0 0 0],[1.134624521472142e-005 1.134624521472142e-005 1.134624521472142e-005],33333333.33333333,38105.1177665153,50,0.0,[0 0 0],[0 0 0]
fSH_4001_C1,Yg,[0 0 0],[0.0001760252206992153 0.0001760252206992153 0.0001760252206992153],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_4096_C4,Yg,[0 0 0],[3.870591539785085e-005 3.870591539785085e-005 3.870591539785085e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4131_C1,Yg,[0 0 0],[4.238311216367893e-006 4.238311216367893e-006 4.238311216367893e-006],33333333.33333333,158771.3240271471,50,0.0,[0 0 0],[0 0 0]
fSH_4185_C1,Yg,[0 0 0],[3.351947214955248e-006 3.351947214955248e-006 3.351947214955248e-006],33333333.33333333,76210.2355330306,50,0.0,[0 0 0],[0 0 0]
fSH_4260_C1,Yg,[0 0 0],[2.21121180112281e-005 2.21121180112281e-005 2.21121180112281e-005],33333333.33333333,38105.1177665153,50,0.0,[0 0 0],[0 0 0]
fSH_4351_C1,Yg,[0 0 0],[3.680273453544351e-005 3.680273453544351e-005 3.680273453544351e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4363_C5,Yg,[0 0 0],[3.846143888836724e-005 3.846143888836724e-005 3.846143888836724e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4367_C3,Yg,[0 0 0],[1.808584730163794e-005 1.808584730163794e-005 1.808584730163794e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4367_C6,Yg,[0 0 0],[1.807455351503046e-005 1.807455351503046e-005 1.807455351503046e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4368_C2,Yg,[0 0 0],[1.45088355683088e-005 1.45088355683088e-005 1.45088355683088e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4368_C5,Yg,[0 0 0],[3.051300203678633e-005 3.051300203678633e-005 3.051300203678633e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4369_C1,Yg,[0 0 0],[1.40410610311276e-005 1.40410610311276e-005 1.40410610311276e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4369_C4,Yg,[0 0 0],[3.060600780661553e-005 3.060600780661553e-005 3.060600780661553e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4373_C1,Yg,[0 0 0],[2.560541950417355e-005 2.560541950417355e-005 2.560541950417355e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4395_C1,Yg,[0 0 0],[3.905580418053804e-005 3.905580418053804e-005 3.905580418053804e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4396_C2,Yg,[0 0 0],[4.104228867612096e-005 4.104228867612096e-005 4.104228867612096e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4397_C3,Yg,[0 0 0],[3.825661914249243e-005 3.825661914249243e-005 3.825661914249243e-005],33333333.33333333,19052.55888325765,50,0.0,[0 0 0],[0 0 0]
fSH_4440_C1,Yg,[0 0 0],[0.0001684746021544224 0.0001684746021544224 0.0001684746021544224],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_4498_C2,Yg,[0 0 0],[0.0001257915966207425 0.0001257915966207425 0.0001257915966207425],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
fSH_4499_C3,Yg,[0 0 0],[0.0001256764214398913 0.0001256764214398913 0.0001256764214398913],33333333.33333333,6350.852961085884,50,0.0,[0 0 0],[0 0 0]
