"Component ","Description ","Dynamic load status","External control of P and Q","Measuring filter status","Base power ","Base voltage ","Base frequency ","U0 ","P0 ","Q0 ","Vmin ","Rs ","Ls ","Rp ","Lp ","Cp ","np ","nq ","kp ","kq ","Tp1 ","Tp2 ","Tq1 ","Tq2 "
load_P_1058_1,0.0,1,0,1,100000000,21000,50,0.9880100000003142,7196554.27563423,2416477.54932139,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1062_1G,0.0,1,0,1,100000000,12000,50,1.044129195944884,-14282245.2541266,0,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1074_2,0.0,1,0,1,100000000,12500,50,0.9635399999983624,43392.3930488527,43749.5418987237,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1075_3,0.0,1,0,1,100000000,12500,50,0.9702499999983613,44870.6568134017,47727.5057820603,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1078_6,0.0,1,0,1,100000000,12500,50,1.00306999999828,38011.2225227058,40642.0744564384,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1079_7,0.0,1,0,1,100000000,12500,50,1.012749999998282,38793.4326939285,38430.588806048,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1080_8,0.0,1,0,1,100000000,12500,50,1.024189999998282,38077.8377875686,38915.0532997213,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1081_5,0.0,1,0,1,100000000,23000,50,1.018850000000848,26309900.1010022,14950942.3831273,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1082_6,0.0,1,0,1,100000000,23000,50,1.009550000000843,27959039.1678284,14582292.8520143,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1083_1,0.0,1,0,1,100000000,66000,50,1.02542788041576,6159548.918537799,1225999.82937444,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1083_1G,0.0,1,0,1,100000000,66000,50,1.02542788041576,-12614336.5139035,0,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1083_2,0.0,1,0,1,100000000,66000,50,1.02542788041576,102078.515118919,1040.44473334216,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1083_3,0.0,1,0,1,100000000,66000,50,1.02542788041576,15796631.0881181,6670068.50116253,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1083_4,0.0,1,0,1,100000000,66000,50,1.02542788041576,8500081.51335502,1119714.00360782,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1094_1,0.0,1,0,1,100000000,132000,50,1.034603981279467,19232003.4148502,7394726.79717424,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1094_2,0.0,1,0,1,100000000,132000,50,1.034603981279467,18394701.1552559,6165338.08891959,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1127_1,0.0,1,0,1,100000000,132000,50,1.045778824368853,52144607.2876835,-10418699.4219702,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1128_2,0.0,1,0,1,100000000,132000,50,1.045682106346643,47070203.7674924,-7423224.07301534,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1129_4,0.0,1,0,1,100000000,132000,50,1.046703681802436,771102.1072752769,535070.520377159,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1130_3,0.0,1,0,1,100000000,132000,50,1.046913388190831,46813271.8256355,-6031304.23971033,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1139_1,0.0,1,0,1,100000000,132000,50,1.028595894202591,14294913.0828764,5147304.89338171,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1146_1,0.0,1,0,1,100000000,330000,50,1.004789562765913,117520138.250853,60357409.5360105,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1146_1C,0.0,1,0,1,100000000,330000,50,1.004789562765913,228628601.39343,50473894.3604752,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1146_2,0.0,1,0,1,100000000,330000,50,1.004789562765913,286603070.002294,89026662.35128421,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1146_2C,0.0,1,0,1,100000000,330000,50,1.004789562765913,24085524.5001148,4849152.61017159,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1146_3,0.0,1,0,1,100000000,330000,50,1.004789562765913,-217989054.722231,-59233853.1553254,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1146_3C,0.0,1,0,1,100000000,330000,50,1.004789562765913,229733246.304095,34855384.0946406,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1146_4,0.0,1,0,1,100000000,330000,50,1.004789562765913,84191279.190558,45423396.5492221,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1146_4C,0.0,1,0,1,100000000,330000,50,1.004789562765913,216242198.803229,48644237.9304208,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1166_1,0.0,1,0,1,100000000,132000,50,1.023238472427296,30173560.7269322,2153010.38724817,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1166_2,0.0,1,0,1,100000000,132000,50,1.023238472427296,124998564.18951,19879344.4883533,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1166_3,0.0,1,0,1,100000000,132000,50,1.023238472427296,28661288.4104585,2464660.15670309,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1166_4,0.0,1,0,1,100000000,132000,50,1.023238472427296,117697705.645021,598279.098256305,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1168_1,0.0,1,0,1,100000000,132000,50,1.082401500119045,11185343.0318115,-3493717.75057982,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1168_2,0.0,1,0,1,100000000,132000,50,1.082401500119045,6806280.18167987,-521604.034143267,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1169_1,0.0,1,0,1,100000000,132000,50,1.050856832314744,44869903.10223591,19066578.3188646,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1169_2,0.0,1,0,1,100000000,132000,50,1.050856832314744,49763031.7436552,20113139.6349354,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1169_3,0.0,1,0,1,100000000,132000,50,1.050856832314744,45746925.8892874,20807613.6441555,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1169_4,0.0,1,0,1,100000000,132000,50,1.050856832314744,1972426.75846657,3052866.87268689,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1169_5,0.0,1,0,1,100000000,132000,50,1.050856832314744,19388172.3100886,6710118.775523639,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1169_6,0.0,1,0,1,100000000,132000,50,1.050856832314744,45519553.7750417,15105435.048593,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1169_7,0.0,1,0,1,100000000,132000,50,1.050856832314744,19431065.6596633,5913487.31383234,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1169_8,0.0,1,0,1,100000000,132000,50,1.050856832314744,18671744.9554928,6258173.43386882,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1184_1,0.0,1,0,1,100000000,132000,50,1.019095661508403,10162278.1317979,5164642.81849517,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1184_2,0.0,1,0,1,100000000,132000,50,1.019095661508403,33429963.3251152,13871631.1852218,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1184_3,0.0,1,0,1,100000000,132000,50,1.019095661508403,29764967.4274147,14404198.1152007,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_1,0.0,1,0,1,100000000,132000,50,1.022856773345806,89519975.2520645,2943251.5004212,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_10,0.0,1,0,1,100000000,132000,50,1.022856773345806,40871103.6241965,-2782106.6833064,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_11,0.0,1,0,1,100000000,132000,50,1.022856773345806,31230656.4312145,-1332182.81880403,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_12,0.0,1,0,1,100000000,132000,50,1.022856773345806,30609298.4125424,-685065.4027950021,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_2,0.0,1,0,1,100000000,132000,50,1.022856773345806,58363688.6662893,20380408.0659814,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_3,0.0,1,0,1,100000000,132000,50,1.022856773345806,31634867.8884655,-13661619.8695195,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_4,0.0,1,0,1,100000000,132000,50,1.022856773345806,30570844.4256829,-12926491.3369683,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_5,0.0,1,0,1,100000000,132000,50,1.022856773345806,30369574.7392092,-40805151.4364926,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_6,0.0,1,0,1,100000000,132000,50,1.022856773345806,83672621.3415485,11337764.7086101,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_7,0.0,1,0,1,100000000,132000,50,1.022856773345806,105258202.185244,-4435122.00333085,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_8,0.0,1,0,1,100000000,132000,50,1.022856773345806,55041976.1303001,20292141.6406972,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1185_9,0.0,1,0,1,100000000,132000,50,1.022856773345806,45375580.0367773,-3846065.48437686,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1186_1,0.0,1,0,1,100000000,132000,50,1.034301815057758,70824891.4271127,26959188.5965141,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1186_2,0.0,1,0,1,100000000,132000,50,1.034301815057758,107590636.079013,43715265.5796453,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1186_3,0.0,1,0,1,100000000,132000,50,1.034301815057758,25567643.292339,8934221.175776241,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1186_4,0.0,1,0,1,100000000,132000,50,1.034301815057758,5395923.787142569,784554.7100847589,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1186_5,0.0,1,0,1,100000000,132000,50,1.034301815057758,6540577.10921075,1160523.71908175,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1189_1,0.0,1,0,1,100000000,132000,50,1.035296478637924,35783925.2896311,1812984.9506313,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1189_2,0.0,1,0,1,100000000,132000,50,1.035296478637924,42682195.433428,1690098.11322503,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1190_1,0.0,1,0,1,100000000,132000,50,1.044240076489875,8259493.21419513,19136.7482934147,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1191_2,0.0,1,0,1,100000000,132000,50,1.043691088056307,24109205.8152781,6274677.04216484,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1192_1,0.0,1,0,1,100000000,132000,50,1.028339191984939,50587404.3145211,9573739.737740899,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1192_2,0.0,1,0,1,100000000,132000,50,1.028339191984939,53188426.5752986,10266460.144586,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1195_1,0.0,1,0,1,100000000,132000,50,1.043551843856226,18987688.8659943,7623265.64488001,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1195_2,0.0,1,0,1,100000000,132000,50,1.043551843856226,22197077.8789527,9903201.885030789,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1196_7,0.0,1,0,1,100000000,132000,50,1.054876457159596,8196319.011532241,-717465.0966227059,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1200_1,0.0,1,0,1,100000000,132000,50,1.076083939105193,18255845.9241623,8838053.886633739,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1201_2,0.0,1,0,1,100000000,132000,50,1.049605311312625,32919856.6244091,12921921.020609,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1201_3,0.0,1,0,1,100000000,132000,50,1.049605311312625,47510376.2460959,17902172.0877536,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1203_1,0.0,1,0,1,100000000,132000,50,1.044977491001384,33561723.720686,22438215.6755955,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1209_1,0.0,1,0,1,100000000,66000,50,1.045861882013386,6191582.08037876,575102.8729443901,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1209_2,0.0,1,0,1,100000000,66000,50,1.045861882013386,14394447.9496913,302993.4561837,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1209_3,0.0,1,0,1,100000000,66000,50,1.045861882013386,9101847.9867443,674912.191824335,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1209_4,0.0,1,0,1,100000000,66000,50,1.045861882013386,4504914.735024651,718370.1176520439,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1210_1,0.0,1,0,1,100000000,132000,50,1.045664696395035,16899073.039629,3900892.04066684,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1210_2,0.0,1,0,1,100000000,132000,50,1.045664696395035,18488288.8990045,3849515.5888292,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1214_1,0.0,1,0,1,100000000,132000,50,1.029842192684846,23013319.5994296,6526769.50796871,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1214_2,0.0,1,0,1,100000000,132000,50,1.029842192684846,22305550.4802499,6324634.95034175,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1214_3,0.0,1,0,1,100000000,132000,50,1.029842192684846,22649382.3359832,6064948.166739199,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1216_1,0.0,1,0,1,100000000,132000,50,1.034059727824881,27626572.6334902,14479561.4460355,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1217_1,0.0,1,0,1,100000000,220000,50,1.039497299733625,17028746.8016645,1388777.13293713,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1220_1,0.0,1,0,1,100000000,132000,50,1.038361990371893,21369068.5700362,4994234.68277324,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1220_2,0.0,1,0,1,100000000,132000,50,1.038361990371893,24507776.9927664,6941761.65760425,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1220_3,0.0,1,0,1,100000000,132000,50,1.038361990371893,17618685.0314755,4232204.964682461,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1223_1,0.0,1,0,1,100000000,132000,50,1.028532939919264,12166981.2024641,4186808.69391607,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1226_1,0.0,1,0,1,100000000,132000,50,1.019941147287748,102004.766431637,-321489.385715406,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1226_2,0.0,1,0,1,100000000,132000,50,1.019941147287748,2081569.13227318,350304.232608061,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1228_1,0.0,1,0,1,100000000,132000,50,1.029445259777671,14063373.1906498,3448701.04313996,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1229_1,0.0,1,0,1,100000000,132000,50,1.043676916824275,6327268.349225909,3252078.37965991,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1230_1,0.0,1,0,1,100000000,132000,50,1.036837254586858,15106573.7890452,6244749.30166267,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1232_1,0.0,1,0,1,100000000,132000,50,1.038356315534626,10911199.2653335,2743221.25633513,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1232_2,0.0,1,0,1,100000000,132000,50,1.038356315534626,8761595.02803153,2524144.5741565,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1236_1,0.0,1,0,1,100000000,132000,50,1.036486404535581,5580047.24041424,-6815000.44697765,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1237_1,0.0,1,0,1,100000000,132000,50,1.015837408304413,15787991.3943052,1242742.92333308,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1240_1,0.0,1,0,1,100000000,132000,50,1.026237842556595,15923393.5532007,4704111.08970568,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1240_2,0.0,1,0,1,100000000,132000,50,1.026237842556595,26504228.0471264,7545503.353561549,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1240_3,0.0,1,0,1,100000000,132000,50,1.026237842556595,17707055.6069026,-1357554.08403291,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
load_P_1240_4,0.0,1,0,1,100000000,132000,50,1.026237842556595,17657397.365585,-7664847.08608324,0.7,5.402,0.928,1798,0,9.820300000000001e-007,0,0,0,0,0,0,0,0
