"Component ","Description ","Primary winding connection","Primary resistance [3]","Primary leakage inductance [3]","Primary winding voltage [3]","Secondary winding connection","Secondary resistance [3]","Secondary leakage inductance [3]","Secondary winding voltage [3]","Magnetization resistance [3]","Magnetization inductance [3]","Tertiary winding connection","Primary neutral resistance [4]","Primary neutral inductance [4]","Primary neutral capacitance [4]","Secondary neutral resistance [4]","Secondary neutral inductance [4]","Secondary neutral capacitance [4]","Tertiary neutral resistance [4]","Tertiary neutral inductance [4]","Tertiary neutral capacitance [4]","Base primary winding voltage","Base secondary winding voltage","Base tertiary winding voltage","Base power ","Base frequency ","Tertiary resistance [3]","Tertiary leakage inductance [3]","Tertiary winding voltage [3]"
xf_2077_2205_2346_2,0.0,Yg,[0.112858241051304 0.112858241051304 0.112858241051304],[0.004683501781995523 0.004683501781995523 0.004683501781995523],[128922.3151100434000 128922.3151100434000 128922.3151100434000],Yg,[0.1816755467740587 0.1816755467740587 0.1816755467740587],[0.2204401876554764 0.2204401876554764 0.2204401876554764],[288675.1345948128000 288675.1345948128000 288675.1345948128000],[484000000.0000001 484000000.0000001 484000000.0000001],[1540619.849129547 1540619.849129547 1540619.849129547],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],127017.0592217177,288675.1345948129,19052.55888325765,33333333.33333333,50,[0.007652614456520055 0.007652614456520055 0.007652614456520055],[0.00145151293359754 0.00145151293359754 0.00145151293359754],[19052.55888325765000 19052.55888325765000 19052.55888325765000]
xf_2077_2205_2347_1,0.0,Yg,[0.1096531223746985 0.1096531223746985 0.1096531223746985],[0.005165221427399586 0.005165221427399586 0.005165221427399586],[128922.3151100434000 128922.3151100434000 128922.3151100434000],Yg,[0.199839134037145 0.199839134037145 0.199839134037145],[0.2272454218748971 0.2272454218748971 0.2272454218748971],[288675.1345948128000 288675.1345948128000 288675.1345948128000],[484000000.0000001 484000000.0000001 484000000.0000001],[1540619.849129547 1540619.849129547 1540619.849129547],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],127017.0592217177,288675.1345948129,19052.55888325765,33333333.33333333,50,[0.007652143205158477 0.007652143205158477 0.007652143205158477],[0.001475962739001596 0.001475962739001596 0.001475962739001596],[19052.55888325765000 19052.55888325765000 19052.55888325765000]
xf_2077_2205_2349_3,0.0,Yg,[0.1271365870349436 0.1271365870349436 0.1271365870349436],[0.003718739883227927 0.003718739883227927 0.003718739883227927],[128922.3151100434000 128922.3151100434000 128922.3151100434000],Yg,[0.1415386098314773 0.1415386098314773 0.1415386098314773],[0.2352437564682876 0.2352437564682876 0.2352437564682876],[288675.1345948128000 288675.1345948128000 288675.1345948128000],[484000000.0000001 484000000.0000001 484000000.0000001],[1540619.849129547 1540619.849129547 1540619.849129547],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],127017.0592217177,288675.1345948129,19052.55888325765,33333333.33333333,50,[0.007940193857571273 0.007940193857571273 0.007940193857571273],[0.001432285668923942 0.001432285668923942 0.001432285668923942],[19052.55888325765000 19052.55888325765000 19052.55888325765000]
xf_2145_2243_2306_1,0.0,Yg,[3.999934364744196 3.999934364744196 3.999934364744196],[0.5896068297423371 0.5896068297423371 0.5896068297423371],[137400.4151379585000 137400.4151379585000 137400.4151379585000],Yg,[0.1924676072774548 0.1924676072774548 0.1924676072774548],[0.001617669264218238 0.001617669264218238 0.001617669264218238],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[484000000.0000001 484000000.0000001 484000000.0000001],[1540619.849129547 1540619.849129547 1540619.849129547],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],127017.0592217177,38105.1177665153,12701.70592217177,33333333.33333333,50,[0.04439376083118861 0.04439376083118861 0.04439376083118861],[0.004719659905514264 0.004719659905514264 0.004719659905514264],[12701.70592217177000 12701.70592217177000 12701.70592217177000]
xf_2145_2243_2306_2,0.0,Yg,[3.874819722086019 3.874819722086019 3.874819722086019],[0.4578084762432634 0.4578084762432634 0.4578084762432634],[137400.4151379585000 137400.4151379585000 137400.4151379585000],Yg,[0.187243011095179 0.187243011095179 0.187243011095179],[0.003639580442020084 0.003639580442020084 0.003639580442020084],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[484000000.0000001 484000000.0000001 484000000.0000001],[1540619.849129547 1540619.849129547 1540619.849129547],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],127017.0592217177,38105.1177665153,12701.70592217177,33333333.33333333,50,[0.04478249807877147 0.04478249807877147 0.04478249807877147],[0.004359474507498108 0.004359474507498108 0.004359474507498108],[12701.70592217177000 12701.70592217177000 12701.70592217177000]
xf_2145_2243_2306_3,0.0,Yg,[6.342588835744715 6.342588835744715 6.342588835744715],[0.5095989984533902 0.5095989984533902 0.5095989984533902],[137400.4151379585000 137400.4151379585000 137400.4151379585000],Yg,[0.4079746950665601 0.4079746950665601 0.4079746950665601],[0.00445925405552814 0.00445925405552814 0.00445925405552814],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[484000000.0000001 484000000.0000001 484000000.0000001],[1540619.849129547 1540619.849129547 1540619.849129547],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],127017.0592217177,38105.1177665153,12701.70592217177,33333333.33333333,50,[0.06396643985444599 0.06396643985444599 0.06396643985444599],[0.005917020566207892 0.005917020566207892 0.005917020566207892],[12701.70592217177000 12701.70592217177000 12701.70592217177000]
xf_2162_2271_2315_5,0.0,Yg,[0.6540021312657019 0.6540021312657019 0.6540021312657019],[0.1096857980107614 0.1096857980107614 0.1096857980107614],[122869.3748878594000 122869.3748878594000 122869.3748878594000],Yg,[0.0322020978964283 0.0322020978964283 0.0322020978964283],[0.0007836100716413246 0.0007836100716413246 0.0007836100716413246],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[484000000.0000001 484000000.0000001 484000000.0000001],[1540619.849129547 1540619.849129547 1540619.849129547],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],127017.0592217177,38105.1177665153,12701.70592217177,33333333.33333333,50,[0.007885205044361316 0.007885205044361316 0.007885205044361316],[0.001153556301714569 0.001153556301714569 0.001153556301714569],[12701.70592217177000 12701.70592217177000 12701.70592217177000]
xf_2191_2018_2019_6,0.0,Yg,[0.4295567169575655 0.4295567169575655 0.4295567169575655],[0.03086889176771542 0.03086889176771542 0.03086889176771542],[199763.1931396106000 199763.1931396106000 199763.1931396106000],Yg,[0.003633082455581614 0.003633082455581614 0.003633082455581614],[0.0006073640321995971 0.0006073640321995971 0.0006073640321995971],[9814.95457622364000 9814.95457622364000 9814.95457622364000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,9814.954576223639,9814.954576223639,33333333.33333333,50,[0.003373990074986833 0.003373990074986833 0.003373990074986833],[0.0006274337288741651 0.0006274337288741651 0.0006274337288741651],[9814.95457622364000 9814.95457622364000 9814.95457622364000]
xf_2191_2020_2021_7,0.0,Yg,[0.4162720862875632 0.4162720862875632 0.4162720862875632],[0.04661833690737402 0.04661833690737402 0.04661833690737402],[199763.1931396106000 199763.1931396106000 199763.1931396106000],Yg,[0.003631912115658738 0.003631912115658738 0.003631912115658738],[0.0005386629609660609 0.0005386629609660609 0.0005386629609660609],[9814.95457622364000 9814.95457622364000 9814.95457622364000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,9814.954576223639,9814.954576223639,33333333.33333333,50,[0.00340285166835059 0.00340285166835059 0.00340285166835059],[0.0005466045277303429 0.0005466045277303429 0.0005466045277303429],[9814.95457622364000 9814.95457622364000 9814.95457622364000]
xf_2191_2023_2024_1,0.0,Yg,[0.2335981571862203 0.2335981571862203 0.2335981571862203],[0.01243220793095063 0.01243220793095063 0.01243220793095063],[199763.1931396106000 199763.1931396106000 199763.1931396106000],Yg,[0.005939776805316109 0.005939776805316109 0.005939776805316109],[0.0006446842846706769 0.0006446842846706769 0.0006446842846706769],[8660.254037844386000 8660.254037844386000 8660.254037844386000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,8660.254037844386,8660.254037844386,33333333.33333333,50,[0.00551663398569916 0.00551663398569916 0.00551663398569916],[0.0006486249584842481 0.0006486249584842481 0.0006486249584842481],[8660.254037844386000 8660.254037844386000 8660.254037844386000]
xf_2191_2025_2026_2,0.0,Yg,[0.2907693135954279 0.2907693135954279 0.2907693135954279],[0.009800241234966502 0.009800241234966502 0.009800241234966502],[199763.1931396106000 199763.1931396106000 199763.1931396106000],Yg,[0.005297294198412787 0.005297294198412787 0.005297294198412787],[0.000648980576516619 0.000648980576516619 0.000648980576516619],[8660.254037844386000 8660.254037844386000 8660.254037844386000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,8660.254037844386,8660.254037844386,33333333.33333333,50,[0.005514296408265016 0.005514296408265016 0.005514296408265016],[0.0006971184039762579 0.0006971184039762579 0.0006971184039762579],[8660.254037844386000 8660.254037844386000 8660.254037844386000]
xf_2191_2027_2028_3,0.0,Yg,[0.06847822819088474 0.06847822819088474 0.06847822819088474],[0.02612325488655785 0.02612325488655785 0.02612325488655785],[199763.1931396106000 199763.1931396106000 199763.1931396106000],Yg,[0.006165448391437763 0.006165448391437763 0.006165448391437763],[0.000650227097113623 0.000650227097113623 0.000650227097113623],[8660.254037844386000 8660.254037844386000 8660.254037844386000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,8660.254037844386,8660.254037844386,33333333.33333333,50,[0.00623450724577416 0.00623450724577416 0.00623450724577416],[0.0006681354161553709 0.0006681354161553709 0.0006681354161553709],[8660.254037844386000 8660.254037844386000 8660.254037844386000]
xf_2191_2029_2030_4,0.0,Yg,[0.1633015431386539 0.1633015431386539 0.1633015431386539],[0.02129563105149044 0.02129563105149044 0.02129563105149044],[199763.1931396106000 199763.1931396106000 199763.1931396106000],Yg,[0.005773748084777835 0.005773748084777835 0.005773748084777835],[0.0006743416008771495 0.0006743416008771495 0.0006743416008771495],[8660.254037844386000 8660.254037844386000 8660.254037844386000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,8660.254037844386,8660.254037844386,33333333.33333333,50,[0.006125001741743289 0.006125001741743289 0.006125001741743289],[0.0006232777811756388 0.0006232777811756388 0.0006232777811756388],[8660.254037844386000 8660.254037844386000 8660.254037844386000]
xf_2191_2031_2022_5,0.0,Yg,[0.08008386841452278 0.08008386841452278 0.08008386841452278],[0.003098409667850579 0.003098409667850579 0.003098409667850579],[199763.1931396106000 199763.1931396106000 199763.1931396106000],Yg,[0.005993640020248244 0.005993640020248244 0.005993640020248244],[0.0006801894494655639 0.0006801894494655639 0.0006801894494655639],[8660.254037844386000 8660.254037844386000 8660.254037844386000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,8660.254037844386,8660.254037844386,33333333.33333333,50,[0.006272768043169988 0.006272768043169988 0.006272768043169988],[0.0006637928793814081 0.0006637928793814081 0.0006637928793814081],[8660.254037844386000 8660.254037844386000 8660.254037844386000]
xf_2195_2293_2332_1,0.0,Yg,[4.363235460131297 4.363235460131297 4.363235460131297],[0.7883716981226135 0.7883716981226135 0.7883716981226135],[193210.2675843082000 193210.2675843082000 193210.2675843082000],Yg,[0.09654477164256429 0.09654477164256429 0.09654477164256429],[0.002021630227185087 0.002021630227185087 0.002021630227185087],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,38105.1177665153,12701.70592217177,33333333.33333333,50,[0.03153724166604262 0.03153724166604262 0.03153724166604262],[0.002988766414246706 0.002988766414246706 0.002988766414246706],[12990.38105676658000 12990.38105676658000 12990.38105676658000]
xf_2195_2293_2332_2,0.0,Yg,[4.123494805361222 4.123494805361222 4.123494805361222],[0.8311614616551806 0.8311614616551806 0.8311614616551806],[193210.2675843082000 193210.2675843082000 193210.2675843082000],Yg,[0.09768331565910343 0.09768331565910343 0.09768331565910343],[0.0003122566833787604 0.0003122566833787604 0.0003122566833787604],[38105.1177665153000 38105.1177665153000 38105.1177665153000],[1089000000 1089000000 1089000000],[3466394.660541481 3466394.660541481 3466394.660541481],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],190525.5888325765,38105.1177665153,12701.70592217177,33333333.33333333,50,[0.03299398466659682 0.03299398466659682 0.03299398466659682],[0.003283383912332805 0.003283383912332805 0.003283383912332805],[12990.38105676658000 12990.38105676658000 12990.38105676658000]
xf_2200_2196_2304_3,0.0,Yg,[0.2769832579273523 0.2769832579273523 0.2769832579273523],[0.1468528413172682 0.1468528413172682 0.1468528413172682],[277849.8170475074000 277849.8170475074000 277849.8170475074000],Yg,[0.1625449537670483 0.1625449537670483 0.1625449537670483],[0.007017898152123773 0.007017898152123773 0.007017898152123773],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[2500000000 2500000000 2500000000],[7957747.154594767 7957747.154594767 7957747.154594767],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],288675.1345948129,158771.3240271471,12701.70592217177,33333333.33333333,50,[0.006336699783937835 0.006336699783937835 0.006336699783937835],[0.0005976529698126545 0.0005976529698126545 0.0005976529698126545],[12701.70592217177000 12701.70592217177000 12701.70592217177000]
xf_2200_2196_2305_2,0.0,Yg,[0.4311818016116735 0.4311818016116735 0.4311818016116735],[0.1569772333419772 0.1569772333419772 0.1569772333419772],[277849.8170475074000 277849.8170475074000 277849.8170475074000],Yg,[0.1180871848257424 0.1180871848257424 0.1180871848257424],[0.003845790634795443 0.003845790634795443 0.003845790634795443],[158771.3240271471000 158771.3240271471000 158771.3240271471000],[2500000000 2500000000 2500000000],[7957747.154594767 7957747.154594767 7957747.154594767],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],288675.1345948129,158771.3240271471,12701.70592217177,33333333.33333333,50,[0.006122084899309941 0.006122084899309941 0.006122084899309941],[0.0006292355576287043 0.0006292355576287043 0.0006292355576287043],[12701.70592217177000 12701.70592217177000 12701.70592217177000]
xf_3134_3135_3136_1,0.0,Yg,[0.1117607440773621 0.1117607440773621 0.1117607440773621],[0.09551121914731242 0.09551121914731242 0.09551121914731242],[62077.04735343007000 62077.04735343007000 62077.04735343007000],Yg,[0.03389065874600813 0.03389065874600813 0.03389065874600813],[0.004196618606017953 0.004196618606017953 0.004196618606017953],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.03227771315013942 0.03227771315013942 0.03227771315013942],[0.003924832789536846 0.003924832789536846 0.003924832789536846],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3134_3135_3136_2,0.0,Yg,[0.3198103966983703 0.3198103966983703 0.3198103966983703],[0.08654859108317631 0.08654859108317631 0.08654859108317631],[62077.04735343007000 62077.04735343007000 62077.04735343007000],Yg,[0.029404376743003 0.029404376743003 0.029404376743003],[0.004039178264193509 0.004039178264193509 0.004039178264193509],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02925175970431557 0.02925175970431557 0.02925175970431557],[0.004181831617610644 0.004181831617610644 0.004181831617610644],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3177_3179_3178_1,0.0,Yg,[0.2717348730999263 0.2717348730999263 0.2717348730999263],[0.08694696637027773 0.08694696637027773 0.08694696637027773],[63508.52961085884000 63508.52961085884000 63508.52961085884000],Yg,[0.02683501579484237 0.02683501579484237 0.02683501579484237],[0.004044318609776766 0.004044318609776766 0.004044318609776766],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02800111079065291 0.02800111079065291 0.02800111079065291],[0.00391951503488961 0.00391951503488961 0.00391951503488961],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3177_3179_3178_2,0.0,Yg,[0.272588593217776 0.272588593217776 0.272588593217776],[0.06169345818253266 0.06169345818253266 0.06169345818253266],[63508.52961085884000 63508.52961085884000 63508.52961085884000],Yg,[0.02802653332834119 0.02802653332834119 0.02802653332834119],[0.004343683473302198 0.004343683473302198 0.004343683473302198],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02625915325538676 0.02625915325538676 0.02625915325538676],[0.004021793610969189 0.004021793610969189 0.004021793610969189],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3226_3227_3228_1,0.0,Yg,[0.2281730159669393 0.2281730159669393 0.2281730159669393],[0.1079019333462142 0.1079019333462142 0.1079019333462142],[65096.2428511303000 65096.2428511303000 65096.2428511303000],Yg,[0.03015289578243968 0.03015289578243968 0.03015289578243968],[0.004033874762671265 0.004033874762671265 0.004033874762671265],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.0292394424475611 0.0292394424475611 0.0292394424475611],[0.004035466997657544 0.004035466997657544 0.004035466997657544],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3226_3227_3228_2,0.0,Yg,[0.1001334524743027 0.1001334524743027 0.1001334524743027],[0.08943301939731284 0.08943301939731284 0.08943301939731284],[65096.2428511303000 65096.2428511303000 65096.2428511303000],Yg,[0.03180686982697001 0.03180686982697001 0.03180686982697001],[0.004173482163913126 0.004173482163913126 0.004173482163913126],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.03247560925846624 0.03247560925846624 0.03247560925846624],[0.004267890113252646 0.004267890113252646 0.004267890113252646],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3231_3644_3645_1,0.0,Yg,[0.1055630341680156 0.1055630341680156 0.1055630341680156],[0.07726643258352962 0.07726643258352962 0.07726643258352962],[63508.52961085884000 63508.52961085884000 63508.52961085884000],Yg,[0.03327315776650158 0.03327315776650158 0.03327315776650158],[0.00412900766366011 0.00412900766366011 0.00412900766366011],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.03147442530584808 0.03147442530584808 0.03147442530584808],[0.004218851840314404 0.004218851840314404 0.004218851840314404],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3231_3644_3645_2,0.0,Yg,[0.3454359818214425 0.3454359818214425 0.3454359818214425],[0.1018262626601534 0.1018262626601534 0.1018262626601534],[63508.52961085884000 63508.52961085884000 63508.52961085884000],Yg,[0.03022912374921454 0.03022912374921454 0.03022912374921454],[0.00380500311242228 0.00380500311242228 0.00380500311242228],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02896214707531568 0.02896214707531568 0.02896214707531568],[0.004172542380578086 0.004172542380578086 0.004172542380578086],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3266_3154_3155_1,0.0,Yg,[0.3044235636172694 0.3044235636172694 0.3044235636172694],[0.009855939961147114 0.009855939961147114 0.009855939961147114],[78115.49142135637000 78115.49142135637000 78115.49142135637000],Yg,[0.01354440166579295 0.01354440166579295 0.01354440166579295],[0.001222374348024246 0.001222374348024246 0.001222374348024246],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[174240000 174240000 174240000],[554623.1456866369 554623.1456866369 554623.1456866369],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],76210.2355330306,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.01460512173555459 0.01460512173555459 0.01460512173555459],[0.001273835399260446 0.001273835399260446 0.001273835399260446],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3302_3304_3303_1,0.0,Yg,[0.2972310912710992 0.2972310912710992 0.2972310912710992],[0.07118926546657969 0.07118926546657969 0.07118926546657969],[64305.56165747512000 64305.56165747512000 64305.56165747512000],Yg,[0.02690181805270062 0.02690181805270062 0.02690181805270062],[0.004047785207254325 0.004047785207254325 0.004047785207254325],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02727541740547753 0.02727541740547753 0.02727541740547753],[0.004100558133041081 0.004100558133041081 0.004100558133041081],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3302_3304_3303_2,0.0,Yg,[0.4137626851842403 0.4137626851842403 0.4137626851842403],[0.08755678873819389 0.08755678873819389 0.08755678873819389],[64305.56165747512000 64305.56165747512000 64305.56165747512000],Yg,[0.02460309384341261 0.02460309384341261 0.02460309384341261],[0.003710555344996648 0.003710555344996648 0.003710555344996648],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02461235162059229 0.02461235162059229 0.02461235162059229],[0.003977438237066015 0.003977438237066015 0.003977438237066015],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3302_3304_3303_3,0.0,Yg,[0.420241658473829 0.420241658473829 0.420241658473829],[0.0940888754871545 0.0940888754871545 0.0940888754871545],[64305.56165747512000 64305.56165747512000 64305.56165747512000],Yg,[0.02567222323550274 0.02567222323550274 0.02567222323550274],[0.003751994816059877 0.003751994816059877 0.003751994816059877],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.02510216650373288 0.02510216650373288 0.02510216650373288],[0.003969160177246407 0.003969160177246407 0.003969160177246407],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
xf_3333_3335_3336_2,0.0,Yg,[0.3282098063265139 0.3282098063265139 0.3282098063265139],[0.04802155611095104 0.04802155611095104 0.04802155611095104],[62711.49756424256000 62711.49756424256000 62711.49756424256000],Yg,[0.02660445255669537 0.02660445255669537 0.02660445255669537],[0.004169985836205573 0.004169985836205573 0.004169985836205573],[6350.852961085884000 6350.852961085884000 6350.852961085884000],[121000000 121000000 121000000],[385154.9622823868 385154.9622823868 385154.9622823868],Yg,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],63508.52961085884,6350.852961085884,6350.852961085884,33333333.33333333,50,[0.0274327048225226 0.0274327048225226 0.0274327048225226],[0.004266395585440786 0.004266395585440786 0.004266395585440786],[6350.852961085884000 6350.852961085884000 6350.852961085884000]
