ind,shunt_bigM
100,1.000000003733919
101,1.0000000005970882
102,6.3447358506902476e-9
103,1.0000000035072762
104,0.9999999998875717
105,1.0000000048900173
106,-3.891797421444537e-9
107,-1.5655407824616119e-9
108,1.0000000084489533
109,1.000000005378315
110,2.2704731382223598e-9
111,2.44858955693719e-9
112,0.9999999965520358
113,-3.492922854331175e-9
114,-3.285419872309962e-9
115,-1.1077091278757416e-9
116,1.6211862943099523e-9
117,0.9999999997445757
118,3.269425979666082e-9
119,1.8173495179037776e-9
120,1.000000003687778
121,0.9999999987170458
122,1.0000000005738632
123,2.5425197627240313e-9
124,1.000000004938165
125,1.016626205186456e-8
126,1.0000000045859065
127,1.000000004697212
128,1.0000000079004725
129,1.0000000037090482
130,2.2927321159110495e-9
131,1.0000000013880057
132,1.0000000015124793
133,1.000000005104316
134,1.0000000074846693
135,1.0000000052538194
136,1.0000000037133088
137,1.0000000052812774
138,1.0000000027299667
139,1.0000000041251225
140,1.000000001437723
141,1.000000000236927
142,1.000000000264915
143,1.000000004297921
144,1.0000000067545296
145,1.0000000007419563
146,1.000000000735949
147,6.9187941181610724e-12
148,-9.578847405341569e-10
149,1.000000008972901
150,1.000000004303628
151,1.0000000066939159
152,1.0000000068314945
153,1.0000000074472613
154,1.0000000051611606
155,-1.8336586265465565e-9
156,1.000000006922327
157,1.000000004170469
158,1.0000000082532192
159,1.0000000086476255
160,1.000000002497106
161,1.0000000070344877
162,1.00000000838596
163,-2.9479749945943665e-9
164,1.0000000064652697
165,1.0000000054112843
166,0.999999975711103
167,1.0000000087010337
168,0.9999999974704824
169,0.9999999961356879
170,0.9999999963191005
171,2.258069512974419e-8
172,1.000000008090716
173,2.4524935544758106e-9
174,-8.44264355134346e-9
175,2.556279630424447e-9
176,2.7840863282653336e-9
177,2.509067025859558e-9
178,2.509127655093875e-9
179,2.5188998777952716e-9
180,2.5186699028501314e-9
181,2.516086494078702e-9
182,1.1764423712157834e-9
183,2.6144949421595165e-9
184,0.9999999991086701
185,2.683877838101158e-9
186,0.9999999974704823
187,0.9999999992328547
188,2.5241068924492564e-9
189,2.4889355352045547e-9
190,1.7761885102068963e-9
191,4.880086336238815e-9
192,2.4623847520752214e-9
193,5.338233273673467e-9
194,4.897519572816475e-9
195,2.914577644942268e-9
196,2.5099961191344526e-9
197,5.923428322373841e-10
198,1.5539649251408132e-9
199,2.684163577485105e-9
200,2.5615246199503704e-9
201,2.4248183482630773e-9
202,2.519785610871102e-9
203,2.5280516933418556e-9
204,2.5297324514068196e-9
205,2.5308032285397103e-9
206,2.5283299079835615e-9
207,2.525902353370116e-9
208,0.9999999977171549
209,2.5040383214350776e-9
210,2.4163402458559658e-9
211,2.5079533056957676e-9
212,2.419005668415213e-9
213,2.4707132941456183e-9
214,2.504213639657817e-9
215,2.5245754125905523e-9
216,2.481777109969251e-9
217,2.519994531177978e-9
218,1.5815007123167054e-9
219,2.527628010190968e-9
220,1.6155678271761957e-9
221,2.5000194734357784e-9
222,3.067054788324757e-9
223,2.5866765841628986e-9
224,2.5735267038272746e-9
225,2.433420364249925e-9
226,2.3707567629406025e-9
227,2.466618444509878e-9
228,2.4169777090869043e-9
229,2.5767811946320816e-9
230,2.5295176837877475e-9
231,4.398663250611925e-9
232,4.295602036479377e-9
233,2.8335246203388713e-9
234,2.5739877752215118e-9
235,2.5715322763147147e-9
236,2.3840592915985667e-9
238,2.628581742012769e-9
239,2.6333867789623977e-9
240,2.9353182616915854e-9
241,2.9778377212878527e-9
242,2.7486936475734535e-9
243,2.716381372015356e-9
244,4.381878562942613e-9
93,9.99360842631964e-10
94,8.141632911908526e-10
95,0.9999999974307652
96,2.5755154055808937e-9
97,-4.394838454765811e-10
99,1.000000003840144
