ind,pt,pf
1,-1.4950942287164393,1.4960190526412807
10,1.125086821232331,-1.1224191831483277
11,0.6769168582976809,-0.6766271592853775
12,0.6769168582976809,-0.6766271592853775
2,-0.0013363569684342125,0.0013363616807885164
3,-0.0013363569684342125,0.0013363616807885164
4,-0.0013363569684342125,0.0013363616807885164
5,-0.00028357763022545236,0.00028357783017331884
6,4.205523002104662,-4.178758697223886
7,1.8899345526917988,-1.8878977109558033
8,1.8899345526917988,-1.8878977109558033
9,1.125086821232331,-1.1224191831483277
