ind,pt,pf
1,-1.3797923003761383,1.3805799041753049
10,0.2536115734953403,-0.25347602547412024
11,0.22571975388464569,-0.22568754199384344
12,0.22571975388464569,-0.22568754199384344
2,-0.0029373773951490243,0.002937399235677192
3,-0.0029373773951490243,0.002937399235677192
4,-0.0029373773951490243,0.002937399235677192
5,0.001985721080006691,-0.0019857126416657146
6,5.659921741785538,-5.611444624048525
7,0.30746881258098785,-0.30741490293675344
8,0.30746881258098785,-0.30741490293675344
9,0.2536115734953403,-0.25347602547412024
